path,current_classification,detected_owner_lane,reference_summary,recommended_action,target_path,quarantine_candidate,manual_review_required,delete_risk,notes
output/latest/revenue_breakout_low_response_latest.csv,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: build_revenue_breakout_low_response.py writes this CSV. output/latest/revenue_breakout_low_response_latest.md references this CSV. Workflow evidence: daily_full_pipeline.yml runs the producer.",keep,same root latest alias,false,false,high,Current daily production machine-readable latest alias; no move/delete in this PR.
output/latest/revenue_breakout_low_response_latest.md,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: build_revenue_breakout_low_response.py writes this MD. Workflow evidence: daily_full_pipeline.yml runs the producer. Active consumers: no direct root-path consumer found.",keep,same root latest alias,false,false,medium,Human-readable companion to a current daily production latest alias; keep with same-family artifact set.
output/latest/revenue_industry_applicability_latest.md,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/apply_revenue_industry_applicability.py writes this MD. Workflow evidence: daily_full_pipeline.yml runs the producer. Active consumers: no direct root-path consumer found.",keep,same root latest alias,false,false,medium,Current daily production data-quality/check artifact; keep until daily pipeline diagnostics are separately relocated.
output/latest/revenue_pullback_latest.csv,unknown,daily_production,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: stock_daily_monitor.py writes this latest alias. Workflow consumer: .github/workflows/signal_performance_tracker.yml reads this alias. Docs/tests/validators: no direct active consumer beyond prior audit docs.",keep,same root latest alias,false,false,high,Machine-readable signal-performance dependency; no move/delete in this PR.
output/latest/surge_model_score_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_surge_precondition_model.py writes this CSV. Validator evidence: scripts/validate_surge_precondition_model.py requires it. Workflow evidence: research_backtest_pipeline.yml runs producer and validator.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Owned by research/backtest; this daily PR records classification only and does not handle research relocation.
output/latest/surge_model_score_latest.md,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_surge_precondition_model.py writes this MD. Validator evidence: scripts/validate_surge_precondition_model.py requires it. Workflow evidence: research_backtest_pipeline.yml runs producer and validator.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Owned by research/backtest; this daily PR records classification only and does not handle research relocation.
output/latest/taiwan_vix_latest.csv,unknown,market_risk,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/fetch_futures_options_indicators.py writes this CSV. Runtime consumer: scripts/generate_chatgpt_side_daily_reports.py reads the remote latest alias. Docs: docs/market_regime_data_source_plan.md references it. Workflow evidence: daily_full_pipeline.yml runs producer.",keep,same root latest alias,false,false,high,Market-risk data source for official daily PDF rendering; retain root machine-readable latest alias.
output/latest/volume_breakout_buy_signal_best_candidates_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_buy_signal_grid.py writes this CSV. Docs: docs/specs/daily_volume_breakout_operation_section_contract.md references it. Workflow evidence: research_backtest_pipeline.yml runs the producer.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; not production promotion and no daily PDF logic changed.
output/latest/volume_breakout_buy_signal_grid_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_buy_signal_grid.py writes this CSV. Docs: docs/specs/daily_volume_breakout_operation_section_contract.md references it. Workflow evidence: research_backtest_pipeline.yml runs the producer.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; not production promotion and no daily PDF logic changed.
output/latest/volume_breakout_buy_signal_grid_summary_latest.md,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_buy_signal_grid.py writes this MD. Workflow evidence: research_backtest_pipeline.yml runs the producer. Active consumers: no direct root-path consumer found beyond generated research context.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest summary artifact; no relocation in this PR.
output/latest/volume_breakout_pattern_classification_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_pattern_classification.py writes this CSV. Validator evidence: scripts/validate_volume_breakout_pattern_classification.py requires it. Workflow evidence: research_backtest_pipeline.yml runs producer and validator.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no daily production relocation or promotion in this PR.
output/latest/volume_breakout_pattern_classification_latest.md,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_pattern_classification.py writes this MD. Validator evidence: scripts/validate_volume_breakout_pattern_classification.py requires it. Workflow evidence: research_backtest_pipeline.yml runs producer and validator.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no daily production relocation or promotion in this PR.
output/latest/volume_breakout_pattern_dimension_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_pattern_classification.py writes this CSV. Validator evidence: scripts/validate_volume_breakout_pattern_classification.py requires it. Workflow evidence: research_backtest_pipeline.yml runs producer and validator.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no daily production relocation or promotion in this PR.
output/latest/volume_breakout_pattern_dimension_latest.md,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_pattern_classification.py writes this MD. Validator evidence: scripts/validate_volume_breakout_pattern_classification.py requires it. Workflow evidence: research_backtest_pipeline.yml runs producer and validator.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no daily production relocation or promotion in this PR.
output/latest/volume_breakout_tdcc_buy_signal_best_candidates_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_tdcc_buy_signal_grid.py writes this CSV. Workflow evidence: research_backtest_pipeline.yml runs producer and validator. TDCC in filename is an overlay feature, not TDCC weekly ownership.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no TDCC weekly or daily PDF logic change.
output/latest/volume_breakout_tdcc_buy_signal_grid_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_tdcc_buy_signal_grid.py writes this CSV. Workflow evidence: research_backtest_pipeline.yml runs producer and validator. TDCC in filename is an overlay feature, not TDCC weekly ownership.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no TDCC weekly or daily PDF logic change.
output/latest/volume_breakout_tdcc_buy_signal_grid_summary_latest.md,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/build_volume_breakout_tdcc_buy_signal_grid.py writes this MD. Workflow evidence: research_backtest_pipeline.yml runs producer and validator. Active consumers: no direct root-path consumer found beyond generated research context.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest summary artifact; no TDCC weekly or daily PDF logic change.
output/latest/weekly_20pct_surge_volume_events_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/research_weekly_20pct_surge_volume.py writes this CSV. Workflow evidence: research_backtest_pipeline.yml runs the producer. Related research scripts import this research module.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no daily production relocation in this PR.
output/latest/weekly_20pct_surge_volume_hit_rate_latest.csv,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/research_weekly_20pct_surge_volume.py writes this CSV. Workflow evidence: research_backtest_pipeline.yml runs the producer. Related research scripts import this research module.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no daily production relocation in this PR.
output/latest/weekly_20pct_surge_volume_hit_rate_latest.md,unknown,research_backtest,"rg exact path/basename searched in scripts, config, docs, tests, .github, output/latest. Producer evidence: scripts/research_weekly_20pct_surge_volume.py writes this MD. Workflow evidence: research_backtest_pipeline.yml runs the producer. Related research scripts import this research module.",reclassify_owner,research_backtest follow-up only; no move in this PR,false,false,medium,Research/backtest artifact; no daily production relocation in this PR.
