original_path,owner_lane,artifact_type,action,target_path,compatibility_alias,active_reference_surface,reason
output/latest/daily_published_snapshot_ranking_backtest_latest.md,research_backtest,md,relocated,output/latest/research_backtest/daily_published_snapshot_ranking_backtest_latest.md,none,workflows,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/daily_short_term_specialty_packet_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_short_term_specialty_packet_latest.md,output/latest/daily_short_term_specialty_packet_latest.md,"scripts,workflows,docs",daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_signal_performance_monthly_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_signal_performance_monthly_latest.md,output/latest/daily_signal_performance_monthly_latest.md,docs,daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_signal_performance_summary_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/daily_signal_performance_summary_latest.csv,output/latest/daily_signal_performance_summary_latest.csv,"scripts,validators,workflows,docs",daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_signal_performance_summary_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_signal_performance_summary_latest.md,output/latest/daily_signal_performance_summary_latest.md,"scripts,docs",daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_signal_performance_validation_latest.md,research_backtest,md,relocated,output/latest/research_backtest/daily_signal_performance_validation_latest.md,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/daily_signal_performance_weekly_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_signal_performance_weekly_latest.md,output/latest/daily_signal_performance_weekly_latest.md,docs,daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_volume_breakout_operation_evidence_audit_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/daily_volume_breakout_operation_evidence_audit_latest.csv,output/latest/daily_volume_breakout_operation_evidence_audit_latest.csv,docs,daily adapter audit contract and validator still reference root path
output/latest/daily_volume_breakout_operation_evidence_audit_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_volume_breakout_operation_evidence_audit_latest.md,output/latest/daily_volume_breakout_operation_evidence_audit_latest.md,docs,daily adapter audit contract and validator still reference root path
output/latest/daily_volume_breakout_operation_section_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/daily_volume_breakout_operation_section_latest.csv,output/latest/daily_volume_breakout_operation_section_latest.csv,"scripts,validators,workflows,docs",daily PDF renderer and published snapshot contract still read this adapter artifact from root
output/latest/daily_volume_breakout_operation_section_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_volume_breakout_operation_section_latest.md,output/latest/daily_volume_breakout_operation_section_latest.md,docs,daily PDF renderer and published snapshot contract still read this adapter artifact from root
output/latest/explosive_volume_up_backtest_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/explosive_volume_up_backtest_latest.csv,output/latest/explosive_volume_up_backtest_latest.csv,docs,active source reference remains: docs
output/latest/explosive_volume_up_backtest_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/explosive_volume_up_backtest_latest.md,output/latest/explosive_volume_up_backtest_latest.md,docs,active source reference remains: docs
output/latest/explosive_volume_up_position_backtest_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/explosive_volume_up_position_backtest_latest.csv,output/latest/explosive_volume_up_position_backtest_latest.csv,docs,active source reference remains: docs
output/latest/historical_pattern_operation_registry_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/historical_pattern_operation_registry_latest.csv,output/latest/historical_pattern_operation_registry_latest.csv,docs,daily volume breakout adapter/validator still consumes this research-owned support artifact
output/latest/historical_pattern_operation_registry_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/historical_pattern_operation_registry_latest.md,output/latest/historical_pattern_operation_registry_latest.md,none_detected,daily volume breakout adapter/validator still consumes this research-owned support artifact
output/latest/market_timing_backtest_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/market_timing_backtest_latest.csv,output/latest/market_timing_backtest_latest.csv,"scripts,docs","active source reference remains: scripts,docs"
output/latest/market_timing_backtest_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/market_timing_backtest_latest.md,output/latest/market_timing_backtest_latest.md,docs,active source reference remains: docs
output/latest/market_timing_composite_backtest_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/market_timing_composite_backtest_latest.csv,output/latest/market_timing_composite_backtest_latest.csv,docs,active source reference remains: docs
output/latest/market_timing_composite_backtest_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/market_timing_composite_backtest_latest.md,output/latest/market_timing_composite_backtest_latest.md,docs,active source reference remains: docs
output/latest/model_operation_readiness_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/model_operation_readiness_latest.csv,output/latest/model_operation_readiness_latest.csv,"workflows,docs",daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/model_operation_readiness_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/model_operation_readiness_latest.md,output/latest/model_operation_readiness_latest.md,"workflows,docs",daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/msci_taiwan_rebalance_backtest_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/msci_taiwan_rebalance_backtest_latest.csv,output/latest/msci_taiwan_rebalance_backtest_latest.csv,"scripts,docs","active source reference remains: scripts,docs"
output/latest/msci_taiwan_rebalance_backtest_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/msci_taiwan_rebalance_backtest_latest.md,output/latest/msci_taiwan_rebalance_backtest_latest.md,docs,active source reference remains: docs
output/latest/signal_performance_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/signal_performance_latest.md,output/latest/signal_performance_latest.md,workflows,active source reference remains: workflows
output/latest/surge_model_backtest_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/surge_model_backtest_latest.csv,output/latest/surge_model_backtest_latest.csv,"scripts,docs","active source reference remains: scripts,docs"
output/latest/surge_model_backtest_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/surge_model_backtest_latest.md,output/latest/surge_model_backtest_latest.md,docs,active source reference remains: docs
output/latest/surge_precondition_candidates_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/surge_precondition_candidates_latest.csv,output/latest/surge_precondition_candidates_latest.csv,"scripts,workflows,docs","active source reference remains: scripts,workflows,docs"
output/latest/surge_precondition_candidates_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/surge_precondition_candidates_latest.md,output/latest/surge_precondition_candidates_latest.md,"workflows,docs","active source reference remains: workflows,docs"
output/latest/volume_breakout_backtest_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_backtest_latest.csv,output/latest/volume_breakout_backtest_latest.csv,docs,active source reference remains: docs
output/latest/volume_breakout_backtest_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_backtest_latest.md,output/latest/volume_breakout_backtest_latest.md,docs,active source reference remains: docs
output/latest/volume_breakout_confirmed_operation_backtest_latest.csv,research_backtest,csv,relocated,output/latest/research_backtest/volume_breakout_confirmed_operation_backtest_latest.csv,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/volume_breakout_confirmed_operation_backtest_latest.md,research_backtest,md,relocated,output/latest/research_backtest/volume_breakout_confirmed_operation_backtest_latest.md,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/volume_breakout_confirmed_operation_rank_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_confirmed_operation_rank_latest.csv,output/latest/volume_breakout_confirmed_operation_rank_latest.csv,docs,active source reference remains: docs
output/latest/volume_breakout_confirmed_operation_rank_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_confirmed_operation_rank_latest.md,output/latest/volume_breakout_confirmed_operation_rank_latest.md,none_detected,not moved in first low-risk PR; retained for compatibility until producer/consumer is separately redirected
output/latest/volume_breakout_formal_operation_backtest_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_formal_operation_backtest_latest.csv,output/latest/volume_breakout_formal_operation_backtest_latest.csv,"scripts,validators,workflows,docs",daily volume breakout adapter/validator still consumes this research-owned support artifact
output/latest/volume_breakout_formal_operation_backtest_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_formal_operation_backtest_latest.md,output/latest/volume_breakout_formal_operation_backtest_latest.md,workflows,daily volume breakout adapter/validator still consumes this research-owned support artifact
output/latest/volume_breakout_formal_operation_lifecycle_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_formal_operation_lifecycle_latest.csv,output/latest/volume_breakout_formal_operation_lifecycle_latest.csv,docs,active source reference remains: docs
output/latest/volume_breakout_operation_pdf_preview_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_operation_pdf_preview_latest.csv,output/latest/volume_breakout_operation_pdf_preview_latest.csv,docs,active source reference remains: docs
output/latest/volume_breakout_operation_pdf_preview_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_operation_pdf_preview_latest.md,output/latest/volume_breakout_operation_pdf_preview_latest.md,docs,active source reference remains: docs
output/latest/volume_breakout_pending_operation_queue_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_pending_operation_queue_latest.csv,output/latest/volume_breakout_pending_operation_queue_latest.csv,docs,active source reference remains: docs
output/latest/volume_breakout_pending_operation_queue_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/volume_breakout_pending_operation_queue_latest.md,output/latest/volume_breakout_pending_operation_queue_latest.md,none_detected,not moved in first low-risk PR; retained for compatibility until producer/consumer is separately redirected
output/latest/volume_breakout_tdcc_confluence_backtest_latest.csv,research_backtest,csv,relocated,output/latest/research_backtest/volume_breakout_tdcc_confluence_backtest_latest.csv,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/volume_breakout_tdcc_confluence_backtest_latest.md,research_backtest,md,relocated,output/latest/research_backtest/volume_breakout_tdcc_confluence_backtest_latest.md,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/warrant_signal_performance_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/warrant_signal_performance_latest.md,output/latest/warrant_signal_performance_latest.md,docs,active source reference remains: docs
output/latest/weekly_surge_5d_avg_volume_comparison_latest.csv,research_backtest,csv,relocated,output/latest/research_backtest/weekly_surge_5d_avg_volume_comparison_latest.csv,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/weekly_surge_5d_avg_volume_comparison_latest.md,research_backtest,md,relocated,output/latest/research_backtest/weekly_surge_5d_avg_volume_comparison_latest.md,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/weekly_surge_multifactor_candidates_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_multifactor_candidates_latest.csv,output/latest/weekly_surge_multifactor_candidates_latest.csv,"scripts,docs","active source reference remains: scripts,docs"
output/latest/weekly_surge_multifactor_candidates_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_multifactor_candidates_latest.md,output/latest/weekly_surge_multifactor_candidates_latest.md,docs,active source reference remains: docs
output/latest/weekly_surge_multifactor_filter_grid_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_multifactor_filter_grid_latest.csv,output/latest/weekly_surge_multifactor_filter_grid_latest.csv,"scripts,docs","active source reference remains: scripts,docs"
output/latest/weekly_surge_multifactor_filter_grid_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_multifactor_filter_grid_latest.md,output/latest/weekly_surge_multifactor_filter_grid_latest.md,docs,active source reference remains: docs
output/latest/weekly_surge_next_open_hit_rate_latest.csv,research_backtest,csv,relocated,output/latest/research_backtest/weekly_surge_next_open_hit_rate_latest.csv,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/weekly_surge_next_open_hit_rate_latest.md,research_backtest,md,relocated,output/latest/research_backtest/weekly_surge_next_open_hit_rate_latest.md,none,none_detected,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/weekly_surge_strict_parameter_candidates_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_strict_parameter_candidates_latest.csv,output/latest/weekly_surge_strict_parameter_candidates_latest.csv,"scripts,docs","active source reference remains: scripts,docs"
output/latest/weekly_surge_strict_parameter_candidates_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_strict_parameter_candidates_latest.md,output/latest/weekly_surge_strict_parameter_candidates_latest.md,docs,active source reference remains: docs
output/latest/weekly_surge_strict_parameter_search_all_rules_latest.csv,research_backtest,csv,relocated,output/latest/research_backtest/weekly_surge_strict_parameter_search_all_rules_latest.csv,none,docs,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/weekly_surge_strict_parameter_search_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_strict_parameter_search_latest.csv,output/latest/weekly_surge_strict_parameter_search_latest.csv,"scripts,validators,docs","active source reference remains: scripts,validators,docs"
output/latest/weekly_surge_strict_parameter_search_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_strict_parameter_search_latest.md,output/latest/weekly_surge_strict_parameter_search_latest.md,docs,active source reference remains: docs
output/latest/weekly_surge_technical_filter_grid_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_technical_filter_grid_latest.csv,output/latest/weekly_surge_technical_filter_grid_latest.csv,"scripts,docs","active source reference remains: scripts,docs"
output/latest/weekly_surge_technical_filter_grid_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_technical_filter_grid_latest.md,output/latest/weekly_surge_technical_filter_grid_latest.md,docs,active source reference remains: docs
output/latest/weekly_surge_theme_segment_next_open_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_theme_segment_next_open_latest.csv,output/latest/weekly_surge_theme_segment_next_open_latest.csv,"scripts,docs","active source reference remains: scripts,docs"
output/latest/weekly_surge_theme_segment_next_open_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/weekly_surge_theme_segment_next_open_latest.md,output/latest/weekly_surge_theme_segment_next_open_latest.md,docs,active source reference remains: docs
