source_path,current_bucket,planned_target_path,root_compatibility_alias,decision,reason
output/latest/tdcc_signal_effectiveness_latest.csv,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_signal_effectiveness_latest.csv,retain,compatibility_alias_required,TDCC signal tracking docs still use the root latest path
output/latest/tdcc_signal_effectiveness_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_signal_effectiveness_latest.md,retain,compatibility_alias_required,TDCC workflow and docs/latest still use the root latest path
output/latest/tdcc_signal_performance_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_signal_performance_latest.md,retain,compatibility_alias_required,TDCC workflow docs/latest and weekly rules still use the root latest path
output/latest/tdcc_signal_structures_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_signal_structures_latest.md,retain,compatibility_alias_required,TDCC workflow and docs/latest still use the root latest path
output/latest/tdcc_stock_history_manifest.csv,tdcc_weekly_history,output/latest/tdcc_weekly/history/tdcc_stock_history_manifest.csv,retain,compatibility_alias_required,TDCC workflow docs/latest and history utilities still use the root latest path
output/latest/tdcc_strength_ranking_top_latest.csv,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_strength_ranking_top_latest.csv,retain,compatibility_alias_required,TDCC tracking packet validator and workflow still use the root latest path
output/latest/tdcc_strength_ranking_top_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_strength_ranking_top_latest.md,retain,compatibility_alias_required,TDCC tracking packet validator and workflow still use the root latest path
output/latest/tdcc_top_risk_list_latest.csv,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_top_risk_list_latest.csv,retain,compatibility_alias_required,TDCC tracking packet validator and workflow still use the root latest path
output/latest/tdcc_top_risk_list_latest.md,tdcc_weekly_tracking,output/latest/tdcc_weekly/tracking/tdcc_top_risk_list_latest.md,retain,compatibility_alias_required,TDCC tracking packet validator and workflow still use the root latest path
output/latest/tdcc_trend_debug_latest.csv,tdcc_weekly_diagnostic,output/latest/tdcc_weekly/diagnostics/tdcc_trend_debug_latest.csv,retain,diagnostic_alias_required,test_tdcc_trend workflow still uses the root latest path
output/latest/tdcc_weekly_candidate_full_for_report_latest.csv,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_candidate_full_for_report_latest.csv,retain,compatibility_alias_required,TDCC weekly date contract builder validator workflow and rules still use the root latest path
output/latest/tdcc_weekly_candidate_full_for_report_latest.md,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_candidate_full_for_report_latest.md,retain,compatibility_alias_required,TDCC weekly workflow docs/latest and tracking validator still use the root latest path
output/latest/tdcc_weekly_candidate_full_latest.md,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_candidate_full_latest.md,retain,compatibility_alias_required,TDCC weekly workflow docs/latest and tracking validator still use the root latest path
output/latest/tdcc_weekly_candidate_highlight_for_report_latest.csv,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_candidate_highlight_for_report_latest.csv,retain,compatibility_alias_required,TDCC weekly date contract builder validator workflow and rules still use the root latest path
output/latest/tdcc_weekly_candidate_highlight_for_report_latest.md,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_candidate_highlight_for_report_latest.md,retain,compatibility_alias_required,TDCC weekly workflow docs/latest and tracking validator still use the root latest path
output/latest/tdcc_weekly_candidate_highlight_latest.md,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_candidate_highlight_latest.md,retain,compatibility_alias_required,TDCC weekly workflow docs/latest and tracking validator still use the root latest path
output/latest/tdcc_weekly_candidate_report_validation_latest.md,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_candidate_report_validation_latest.md,retain,compatibility_alias_required,TDCC weekly workflow docs/latest and report validator still use the root latest path
output/latest/tdcc_weekly_increase_ranking_latest.csv,tdcc_weekly_ranking,output/latest/tdcc_weekly/rankings/tdcc_weekly_increase_ranking_latest.csv,retain,compatibility_alias_required,weekly report builder validator workflow and packet raw links still use the root latest path
output/latest/tdcc_weekly_increase_ranking_latest.md,tdcc_weekly_ranking,output/latest/tdcc_weekly/rankings/tdcc_weekly_increase_ranking_latest.md,retain,compatibility_alias_required,weekly report builder validator workflow and packet raw links still use the root latest path
output/latest/tdcc_weekly_model_cross_summary_latest.csv,tdcc_weekly_ranking,output/latest/tdcc_weekly/rankings/tdcc_weekly_model_cross_summary_latest.csv,retain,compatibility_alias_required,weekly report builder validator workflow and packet raw links still use the root latest path
output/latest/tdcc_weekly_model_cross_summary_latest.md,tdcc_weekly_ranking,output/latest/tdcc_weekly/rankings/tdcc_weekly_model_cross_summary_latest.md,retain,compatibility_alias_required,weekly report builder validator workflow and packet raw links still use the root latest path
output/latest/tdcc_weekly_ranking_backtest_latest.csv,research_backtest_out_of_scope,output/latest/research_backtest/tdcc_weekly_ranking_backtest_latest.csv,retain,out_of_scope_research_backtest_dependency,research_backtest pipeline and validator still own the active consumer path
output/latest/tdcc_weekly_ranking_backtest_latest.md,research_backtest_out_of_scope,output/latest/research_backtest/tdcc_weekly_ranking_backtest_latest.md,retain,out_of_scope_research_backtest_dependency,research_backtest pipeline and validator still own the active consumer path
output/latest/tdcc_weekly_report_latest.md,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_report_latest.md,retain,compatibility_alias_required,TDCC weekly workflow docs/latest and rules still use the root latest path
output/latest/tdcc_weekly_report_section_manifest_latest.csv,tdcc_weekly_report_contract,output/latest/tdcc_weekly/reports/tdcc_weekly_report_section_manifest_latest.csv,retain,compatibility_alias_required,TDCC weekly section contract builder validator workflow and rules still use the root latest path
output/latest/tdcc_weekly_run_status.md,tdcc_weekly_status,output/latest/tdcc_weekly/status/tdcc_weekly_run_status.md,retain,compatibility_alias_required,TDCC weekly workflow publishes and stages the root latest run status
