logical_source,stock_id,expected_path,url,source_type,success,status_category,http_status,error_message,rows,columns,line_count,local_file_exists,local_line_count,local_rows,local_columns,file_size,latest_date,empty_table,newline_ok,chatgpt_friendly,sample_status,mature_sample_status,content_preview_hash,checked_at
surge_model_backtest,,output/latest/surge_model_backtest_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/surge_model_backtest_latest.csv,raw,True,success,200,,15,17,16,True,16,15,17,4455,,False,True,True,ok,,03464c93a13a546d,2026-05-25 22:42:59 Asia/Taipei
surge_model_feature_importance,,output/latest/surge_model_feature_importance_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/surge_model_feature_importance_latest.csv,raw,True,success,200,,10,14,11,True,11,10,14,2047,,False,True,True,ok,,7f6e3faf9c19c5e7,2026-05-25 22:42:59 Asia/Taipei
surge_model_packet,,output/latest/surge_model_chatgpt_packet_latest.md,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/surge_model_chatgpt_packet_latest.md,raw,True,success,200,,109,1,109,True,109,109,1,18628,,False,True,True,ok,,a24b402b32e11ebb,2026-05-25 22:42:59 Asia/Taipei
surge_precondition_candidates,,output/latest/surge_precondition_candidates_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/surge_precondition_candidates_latest.csv,raw,True,success,200,,100,19,101,True,101,100,19,22231,20260525,False,True,True,ok,,35e2c984f030d2b3,2026-05-25 22:42:59 Asia/Taipei
tdcc_phase_distribution,,output/latest/tdcc_phase_distribution_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/tdcc_phase_distribution_latest.csv,raw,True,success,200,,112,18,113,True,113,112,18,8641,,False,True,True,ok,,ccad38867e6ddbb4,2026-05-25 22:42:58 Asia/Taipei
tdcc_pre_move_abm_top,,output/latest/tdcc_pre_move_abm_top_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/tdcc_pre_move_abm_top_latest.csv,raw,True,success,200,,50,28,51,True,51,50,28,17714,,False,True,True,ok,,816ac43e26d21153,2026-05-25 22:42:57 Asia/Taipei
tdcc_strength_ranking_top,,output/latest/tdcc_strength_ranking_top_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/tdcc_strength_ranking_top_latest.csv,raw,True,success,200,,50,27,51,True,51,50,27,14280,,False,True,True,ok,,cdfad02cec660756,2026-05-25 22:42:56 Asia/Taipei
tdcc_top_risk_list,,output/latest/tdcc_top_risk_list_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/tdcc_top_risk_list_latest.csv,raw,True,success,200,,60,13,61,True,61,60,13,11451,,False,True,True,ok,,f6e2338719d8d311,2026-05-25 22:42:59 Asia/Taipei
tdcc_tracking_packet,,output/latest/tdcc_chatgpt_tracking_packet_latest.md,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/tdcc_chatgpt_tracking_packet_latest.md,raw,True,success,200,,661,1,661,True,661,661,1,96992,,False,True,True,ok,,57237e953a1da064,2026-05-25 22:42:56 Asia/Taipei
warrant_flow_by_stock,,output/latest/warrant_flow_by_stock_latest.csv,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/warrant_flow_by_stock_latest.csv,raw,True,success,200,,455,38,456,True,456,455,38,100916,20260525,False,True,True,ok,,e136fa9b5ff70a32,2026-05-25 22:42:56 Asia/Taipei
warrant_market_report,,output/latest/warrant_market_report_latest.md,https://raw.githubusercontent.com/LeoChen0727/tdcc-weekly-report/main/output/latest/warrant_market_report_latest.md,raw,True,success,200,,197,1,197,True,197,197,1,11140,,False,True,True,ok,,749d798dacf8c279,2026-05-25 22:42:54 Asia/Taipei
