股票代號,股票名稱,上市櫃產業,基本族群,主流/非主流,熱門族群1,熱門族群2,熱門族群3,熱門族群4,熱門族群5,備註
00901,永豐智能車供應鏈,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00902,中信電池及儲能,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00903,富邦元宇宙,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00904,新光臺灣半導體30,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00905,FT臺灣Smart,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00907,永豐優息存股,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00908,富邦入息REITs+,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00909,國泰數位支付服務,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00910,第一金太空衛星,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00911,兆豐洲際半導體,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00912,中信臺灣智慧50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00913,兆豐台灣晶圓製造,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00915,凱基優選高股息30,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00916,國泰全球品牌50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00917,中信特選金融,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00918,大華優利高填息30,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00919,群益台灣精選高息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00920,富邦ESG綠色電力,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00921,兆豐龍頭等權重,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00922,國泰台灣領袖50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00923,群益台ESG低碳50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00924,復華S&P500成長,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00926,凱基全球菁英55,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00927,群益半導體收益,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00928,中信上櫃ESG 30,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00929,復華台灣科技優息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00930,永豐ESG低碳高息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00932,兆豐永續高息等權,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00934,中信成長高股息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00935,野村臺灣新科技50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00936,台新永續高息中小,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00938,凱基優選30,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00939,統一台灣高息動能,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00940,元大台灣價值高息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00941,中信上游半導體,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00943,兆豐電子高息等權,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00944,野村趨勢動能高息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00946,群益科技高息成長,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00947,台新臺灣IC設計,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00949,復華日本龍頭,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00951,台新日本半導體,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00952,凱基台灣AI50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00954,中信日本半導體,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00955,中信日本商社,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00956,中信日經高股息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00960,野村全球航運龍頭,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00961,FT臺灣永續高息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00962,台新AI優息動能,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00963,中信全球高股息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00964,中信亞太高股息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00965,元大航太防衛科技,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00971,野村美國研發龍頭,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
00972,野村日本動能高息,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009800,中信NASDAQ,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009801,中信美國創新科技,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009802,富邦旗艦50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009803,玉山市值動能50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009804,聯邦台精彩50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009805,新光美國電力基建,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009806,台新標普500,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009807,台新標普科技精選,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009808,華南永昌優選50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009809,富邦淨零ESG50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009810,玉山全球藍籌100,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009811,統一美國50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009812,野村日本東證,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009813,貝萊德標普卓越50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009814,富邦標普500,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009815,大華美國MAG7+,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009816,凱基台灣TOP50,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009817,國泰日本不動產,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009818,華南永昌NASDAQxT,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009819,中信數據及電力,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009820,元大納斯達克精選,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
009822,華南永昌未來金融,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
0200,兆豐半導體氣候N,指數/ETF/ETN商品,指數/ETF/ETN商品,非主流,,,,,,
1101,台泥,,普通股_待補官方產業,非主流,,,,,,
1102,亞泥,,普通股_待補官方產業,非主流,,,,,,
1103,嘉泥,,普通股_待補官方產業,非主流,,,,,,
1104,環泥,,普通股_待補官方產業,非主流,,,,,,
1108,幸福,,普通股_待補官方產業,非主流,,,,,,
1109,信大,,普通股_待補官方產業,非主流,,,,,,
1110,東泥,,普通股_待補官方產業,非主流,,,,,,
1201,味全,,普通股_待補官方產業,非主流,,,,,,
1203,味王,,普通股_待補官方產業,非主流,,,,,,
1210,大成,,普通股_待補官方產業,非主流,,,,,,
1213,大飲,,普通股_待補官方產業,非主流,,,,,,
1215,卜蜂,,普通股_待補官方產業,非主流,,,,,,
1216,統一,,普通股_待補官方產業,非主流,,,,,,
1217,愛之味,,普通股_待補官方產業,非主流,,,,,,
1218,泰山,,普通股_待補官方產業,非主流,,,,,,
1219,福壽,,普通股_待補官方產業,非主流,,,,,,
1220,台榮,,普通股_待補官方產業,非主流,,,,,,
1225,福懋油,,普通股_待補官方產業,非主流,,,,,,
1227,佳格,,普通股_待補官方產業,非主流,,,,,,
1229,聯華,,普通股_待補官方產業,非主流,,,,,,
1231,聯華食,,普通股_待補官方產業,非主流,,,,,,
1232,大統益,,普通股_待補官方產業,非主流,,,,,,
1233,天仁,,普通股_待補官方產業,非主流,,,,,,
1234,黑松,,普通股_待補官方產業,非主流,,,,,,
1235,興泰,,普通股_待補官方產業,非主流,,,,,,
1236,宏亞,,普通股_待補官方產業,非主流,,,,,,
1240,茂生農經,農業科技,農業科技,非主流,,,,,,
1256,鮮活果汁-KY,,普通股_待補官方產業,非主流,,,,,,
1259,安心,觀光餐旅,觀光餐旅,非主流,,,,,,provisional_industry_mapping
1264,德麥,食品工業,食品工業,非主流,,,,,,provisional_industry_mapping
1268,漢來美食,觀光餐旅,觀光餐旅,非主流,,,,,,provisional_industry_mapping
1294,漢田生技,食品工業,食品工業,非主流,,,,,,provisional_industry_mapping
1295,生合,食品工業,食品工業,非主流,,,,,,provisional_industry_mapping
1301,台塑,,普通股_待補官方產業,非主流,,,,,,
1303,南亞,,玻纖布,主流,玻纖布,PCB_CCL_ABF材料,,,,user_authorized_seed_20260530
1304,台聚,,普通股_待補官方產業,非主流,,,,,,
1305,華夏,,普通股_待補官方產業,非主流,,,,,,
1307,三芳,,普通股_待補官方產業,非主流,,,,,,
1308,亞聚,,普通股_待補官方產業,非主流,,,,,,
1309,台達化,,普通股_待補官方產業,非主流,,,,,,
1310,台苯,,普通股_待補官方產業,非主流,,,,,,
1312,國喬,,普通股_待補官方產業,非主流,,,,,,
1313,聯成,,普通股_待補官方產業,非主流,,,,,,
1314,中石化,,普通股_待補官方產業,非主流,,,,,,
1315,達新,,普通股_待補官方產業,非主流,,,,,,
1316,上曜,,普通股_待補官方產業,非主流,,,,,,
1319,東陽,,普通股_待補官方產業,非主流,,,,,,
1321,大洋,,普通股_待補官方產業,非主流,,,,,,
1323,永裕,,普通股_待補官方產業,非主流,,,,,,
1324,地球,,普通股_待補官方產業,非主流,,,,,,
1325,恆大,,普通股_待補官方產業,非主流,,,,,,
1326,台化,,普通股_待補官方產業,非主流,,,,,,
1336,台翰,電子零組件業,電子零組件業,主流,,,,,,provisional_industry_mapping
1337,再生-KY,,普通股_待補官方產業,非主流,,,,,,
1338,廣華-KY,,普通股_待補官方產業,非主流,,,,,,
1339,昭輝,,普通股_待補官方產業,非主流,,,,,,
1340,勝悅-KY,,普通股_待補官方產業,非主流,,,,,,
1341,富林-KY,,普通股_待補官方產業,非主流,,,,,,
1342,八貫,,普通股_待補官方產業,非主流,,,,,,
1402,遠東新,,普通股_待補官方產業,非主流,,,,,,
1409,新纖,,普通股_待補官方產業,非主流,,,,,,
1410,南染,,普通股_待補官方產業,非主流,,,,,,
1413,宏洲,,普通股_待補官方產業,非主流,,,,,,
1414,東和,,普通股_待補官方產業,非主流,,,,,,
1416,廣豐,,普通股_待補官方產業,非主流,,,,,,
1417,嘉裕,,普通股_待補官方產業,非主流,,,,,,
1418,東華,,普通股_待補官方產業,非主流,,,,,,
1419,新紡,,普通股_待補官方產業,非主流,,,,,,
1423,利華,,普通股_待補官方產業,非主流,,,,,,
1432,大魯閣,,普通股_待補官方產業,非主流,,,,,,
1434,福懋,,普通股_待補官方產業,非主流,,,,,,
1435,中福,,普通股_待補官方產業,非主流,,,,,,
1436,華友聯,,普通股_待補官方產業,非主流,,,,,,
1437,勤益控,,普通股_待補官方產業,非主流,,,,,,
1438,三地開發,,普通股_待補官方產業,非主流,,,,,,
1439,雋揚,,普通股_待補官方產業,非主流,,,,,,
1440,南紡,,普通股_待補官方產業,非主流,,,,,,
1441,大東,,普通股_待補官方產業,非主流,,,,,,
1442,名軒,,普通股_待補官方產業,非主流,,,,,,
1443,立益物流,,普通股_待補官方產業,非主流,,,,,,
1444,力麗,,普通股_待補官方產業,非主流,,,,,,
1445,大宇,,普通股_待補官方產業,非主流,,,,,,
1446,宏和,,普通股_待補官方產業,非主流,,,,,,
1447,力鵬,,普通股_待補官方產業,非主流,,,,,,
1449,佳和,,普通股_待補官方產業,非主流,,,,,,
1451,年興,,普通股_待補官方產業,非主流,,,,,,
1452,宏益,,普通股_待補官方產業,非主流,,,,,,
1453,大將,,普通股_待補官方產業,非主流,,,,,,
1454,台富,,普通股_待補官方產業,非主流,,,,,,
1455,集盛,,普通股_待補官方產業,非主流,,,,,,
1456,怡華,,普通股_待補官方產業,非主流,,,,,,
1457,宜進,,普通股_待補官方產業,非主流,,,,,,
1459,聯發,,普通股_待補官方產業,非主流,,,,,,
1460,宏遠,,普通股_待補官方產業,非主流,,,,,,
1463,強盛新,,普通股_待補官方產業,非主流,,,,,,
1464,得力,,普通股_待補官方產業,非主流,,,,,,
1465,偉全,,普通股_待補官方產業,非主流,,,,,,
1466,聚隆,,普通股_待補官方產業,非主流,,,,,,
1467,南緯,,普通股_待補官方產業,非主流,,,,,,
1468,昶和,,普通股_待補官方產業,非主流,,,,,,
1470,大統新創,,普通股_待補官方產業,非主流,,,,,,
1471,首利,,普通股_待補官方產業,非主流,,,,,,
1472,三洋實業,,普通股_待補官方產業,非主流,,,,,,
1473,台南,,普通股_待補官方產業,非主流,,,,,,
1474,弘裕,,普通股_待補官方產業,非主流,,,,,,
1475,業旺,,普通股_待補官方產業,非主流,,,,,,
1476,儒鴻,,普通股_待補官方產業,非主流,,,,,,
1477,聚陽,,普通股_待補官方產業,非主流,,,,,,
1503,士電,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1504,東元,,普通股_待補官方產業,非主流,,,,,,
1506,正道,,普通股_待補官方產業,非主流,,,,,,
1512,瑞利,,普通股_待補官方產業,非主流,,,,,,
1513,中興電,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1514,亞力,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1515,力山,,普通股_待補官方產業,非主流,,,,,,
1516,川飛,,普通股_待補官方產業,非主流,,,,,,
1517,利奇,,普通股_待補官方產業,非主流,,,,,,
1519,華城,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1521,大億,,普通股_待補官方產業,非主流,,,,,,
1522,堤維西,,普通股_待補官方產業,非主流,,,,,,
1524,耿鼎,,普通股_待補官方產業,非主流,,,,,,
1525,江申,,普通股_待補官方產業,非主流,,,,,,
1526,日馳,,普通股_待補官方產業,非主流,,,,,,
1527,鑽全,,普通股_待補官方產業,非主流,,,,,,
1528,恩德,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1529,樂事綠能,,普通股_待補官方產業,非主流,,,,,,
1530,亞崴,,普通股_待補官方產業,非主流,,,,,,
1531,高林股,,普通股_待補官方產業,非主流,,,,,,
1532,勤美,,普通股_待補官方產業,非主流,,,,,,
1533,車王電,,普通股_待補官方產業,非主流,,,,,,
1535,中宇,,普通股_待補官方產業,非主流,,,,,,
1536,和大,,車用電子,主流,車用電子,,,,,user_authorized_seed_20260530
1537,廣隆,,普通股_待補官方產業,非主流,,,,,,
1538,正峰,,普通股_待補官方產業,非主流,,,,,,
1539,巨庭,,普通股_待補官方產業,非主流,,,,,,
1540,喬福,,普通股_待補官方產業,非主流,,,,,,
1541,錩泰,,普通股_待補官方產業,非主流,,,,,,
1558,伸興,,普通股_待補官方產業,非主流,,,,,,
1560,中砂,,半導體設備_CoWoS,主流,半導體設備_CoWoS,,,,,user_authorized_seed_20260530
1563,巧新,,普通股_待補官方產業,非主流,,,,,,
1565,精華,生技醫療業,生技醫療業,非主流,,,,,,provisional_industry_mapping
1568,倉佑,,普通股_待補官方產業,非主流,,,,,,
1569,濱川,電腦及週邊設備業,電腦及週邊設備業,主流,,,,,,provisional_industry_mapping
1570,力肯,電機機械,電機機械,主流,,,,,,provisional_industry_mapping
1580,新麥,電機機械,電機機械,主流,,,,,,provisional_industry_mapping
1582,信錦,,普通股_待補官方產業,非主流,,,,,,
1583,程泰,,普通股_待補官方產業,非主流,,,,,,
1584,精剛,其他業,其他業,非主流,,,,,,
1586,和勤,電機機械,電機機械,主流,,,,,,provisional_industry_mapping
1587,吉茂,,普通股_待補官方產業,非主流,,,,,,
1589,永冠-KY,,普通股_待補官方產業,非主流,,,,,,
1590,亞德客-KY,電機機械,電機機械,主流,機器人,自動化,,,,user_authorized_seed_20260530;user_confirmed_robotics_theme
1591,駿吉-KY,電機機械,電機機械,主流,,,,,,provisional_industry_mapping
1593,祺驊,運動休閒,運動休閒,非主流,,,,,,
1595,川寶,半導體業,半導體業,主流,,,,,,provisional_industry_mapping
1597,直得,,機器人自動化,主流,機器人自動化,,,,,user_authorized_seed_20260530
1598,岱宇,,普通股_待補官方產業,非主流,,,,,,
1599,宏佳騰,電機機械,電機機械,主流,,,,,,provisional_industry_mapping
1603,華電,,普通股_待補官方產業,非主流,,,,,,
1604,聲寶,,普通股_待補官方產業,非主流,,,,,,
1605,華新,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1608,華榮,,普通股_待補官方產業,非主流,,,,,,
1609,大亞,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1611,中電,,普通股_待補官方產業,非主流,,,,,,
1612,宏泰,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1614,三洋電,,普通股_待補官方產業,非主流,,,,,,
1615,大山,,普通股_待補官方產業,非主流,,,,,,
1616,億泰,,普通股_待補官方產業,非主流,,,,,,
1617,榮星,電器電纜,電器電纜,主流,,,,,,industry_fallback_from_listed_company_classification_needed;provisional_industry_mapping
1618,合機,,重電電網,主流,重電電網,,,,,user_authorized_seed_20260530
1623,大東電,,普通股_待補官方產業,非主流,,,,,,
1626,艾美特-KY,,普通股_待補官方產業,非主流,,,,,,
1702,南僑,,普通股_待補官方產業,非主流,,,,,,
1707,葡萄王,,普通股_待補官方產業,非主流,,,,,,
1708,東鹼,,普通股_待補官方產業,非主流,,,,,,
1709,和益,,普通股_待補官方產業,非主流,,,,,,
1710,東聯,,普通股_待補官方產業,非主流,,,,,,
1711,永光,,普通股_待補官方產業,非主流,,,,,,
1712,興農,,普通股_待補官方產業,非主流,,,,,,
1713,國化,,普通股_待補官方產業,非主流,,,,,,
1714,和桐,,普通股_待補官方產業,非主流,,,,,,
1717,長興,,特化材料,主流,特化材料,特化化學,電子材料,,,user_authorized_specialty_theme_20260530
1718,中纖,,普通股_待補官方產業,非主流,,,,,,
1720,生達,,普通股_待補官方產業,非主流,,,,,,
1721,三晃,,普通股_待補官方產業,非主流,,,,,,
1722,台肥,,普通股_待補官方產業,非主流,,,,,,
1723,中碳,,普通股_待補官方產業,非主流,,,,,,
1725,元禎,,普通股_待補官方產業,非主流,,,,,,
1726,永記,,普通股_待補官方產業,非主流,,,,,,
1727,中華化,,特化材料,主流,特化材料,特化化學,電子材料,,,user_authorized_specialty_theme_20260530
1730,花仙子,,普通股_待補官方產業,非主流,,,,,,
1731,美吾華,,普通股_待補官方產業,非主流,,,,,,
1732,毛寶,,普通股_待補官方產業,非主流,,,,,,
1733,五鼎,,普通股_待補官方產業,非主流,,,,,,
1734,杏輝,,普通股_待補官方產業,非主流,,,,,,
1735,日勝化,,普通股_待補官方產業,非主流,,,,,,
1736,喬山,,普通股_待補官方產業,非主流,,,,,,
1737,臺鹽,,普通股_待補官方產業,非主流,,,,,,
1742,台蠟,化學工業,化學工業,非主流,,,,,,provisional_industry_mapping
1752,南光,,普通股_待補官方產業,非主流,,,,,,
1760,寶齡富錦,,普通股_待補官方產業,非主流,,,,,,
1762,中化生,,普通股_待補官方產業,非主流,,,,,,
1773,勝一,,普通股_待補官方產業,非主流,,,,,,
1776,展宇,,普通股_待補官方產業,非主流,,,,,,
1777,生泰,生技醫療業,生技醫療業,非主流,,,,,,provisional_industry_mapping
1781,合世,生技醫療業,生技醫療業,非主流,,,,,,provisional_industry_mapping
1783,和康生,,普通股_待補官方產業,非主流,,,,,,
