stock_id,stock_name,industry,primary_theme,secondary_themes,structural_theme_bucket,theme_mainstream_label,taxonomy_source,concept_tags,notes
4958,臻鼎-KY,,PCB_CCL_ABF材料,車用電子,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;車用電子,user_authorized_seed_20260530
6191,精成科,電子零組件業,PCB_CCL_ABF材料,,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料,user_authorized_seed_20260530
6213,聯茂,電子零組件業,PCB_CCL_ABF材料,,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料,user_authorized_seed_20260530
6274,台燿,,PCB_CCL_ABF材料,,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料,user_authorized_seed_20260530
8039,台虹,電子零組件業,PCB_CCL_ABF材料,,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料,user_authorized_seed_20260530
8046,南電,電子零組件業,PCB_CCL_ABF材料,,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料;ABF,user_authorized_seed_20260530
8358,金居,,PCB_CCL_ABF材料,,pcb_ccl_theme,core_mainstream,authorized_seed,PCB_CCL_ABF材料,user_authorized_seed_20260530
2314,台揚,,低軌衛星,,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星,user_authorized_seed_20260530
2455,全新,通信網路業,低軌衛星,CPO光通訊,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星;CPO光通訊,user_authorized_seed_20260530
3105,穩懋,,低軌衛星,,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星,user_authorized_seed_20260530
3491,昇達科,通信網路業,低軌衛星,軍工無人機,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星;軍工無人機,user_authorized_seed_20260530
3596,智易,通信網路業,低軌衛星,網通交換器,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星;網通交換器,user_authorized_seed_20260530
4916,事欣科,computer peripherals,低軌衛星,industrial computer,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星;IPC;gaming;server,user_authorized_seed_20260530
6190,萬泰科,,低軌衛星,,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星,user_authorized_seed_20260530
6271,同欣電,,低軌衛星,,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星,user_authorized_seed_20260530
6285,啟碁,communications,低軌衛星,網通交換器;軍工無人機;network equipment,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星;網通交換器;軍工無人機;networking;communications,user_authorized_seed_20260530
6715,嘉基,,低軌衛星,,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星,user_authorized_seed_20260530
8086,宏捷科,半導體業,低軌衛星,,low_earth_orbit_satellite_theme,core_mainstream,authorized_seed,低軌衛星,user_authorized_seed_20260530
1560,中砂,,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
2404,漢唐,其他電子業,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
2467,志聖,電子零組件業,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
3131,弘塑,semiconductor equipment,半導體設備_CoWoS,semiconductor equipment,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS;wet process;semiconductor equipment,user_authorized_seed_20260530
3167,大量,,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
3583,辛耘,,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
6187,萬潤,,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
6196,帆宣,,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
6223,旺矽,半導體業,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
6510,精測,,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
6640,均華,,半導體設備_CoWoS,,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS,user_authorized_seed_20260530
8028,昇陽半導體,semiconductor,半導體設備_CoWoS,wafer reclaim,semiconductor_equipment_material_theme,core_mainstream,authorized_seed,半導體設備_CoWoS;wafer reclaim;semiconductor materials,user_authorized_seed_20260530
2354,鴻準,其他電子業,散熱液冷,,thermal_solution_theme,core_mainstream,authorized_seed,散熱液冷,user_authorized_seed_20260530
2421,建準,電子零組件業,散熱液冷,,thermal_solution_theme,core_mainstream,authorized_seed,散熱液冷,user_authorized_seed_20260530
3017,奇鋐,電腦及週邊設備業,散熱液冷,,thermal_solution_theme,core_mainstream,authorized_seed,散熱液冷,user_authorized_seed_20260530
3324,雙鴻,其他電子業,散熱液冷,,thermal_solution_theme,core_mainstream,authorized_seed,散熱液冷,user_authorized_seed_20260530
3540,曜越,,散熱液冷,,thermal_solution_theme,core_mainstream,authorized_seed,散熱液冷,user_authorized_seed_20260530
6230,尼得科超眾,,散熱液冷,,thermal_solution_theme,core_mainstream,authorized_seed,散熱液冷,user_authorized_seed_20260530
6805,富世達,電子零組件業,散熱液冷,機器人自動化,thermal_solution_theme,core_mainstream,authorized_seed,散熱液冷;機器人自動化,user_authorized_seed_20260530
8996,高力,電機機械,散熱液冷,,thermal_solution_theme,core_mainstream,authorized_seed,散熱液冷,user_authorized_seed_20260530
1590,亞德客-KY,電機機械,機器人,自動化,robotics_precision_motion_theme,core_mainstream,manual_override,機器人自動化;氣動元件,user_authorized_seed_20260530;user_confirmed_robotics_theme
2049,上銀,電機機械,機器人,自動化,robotics_precision_motion_theme,core_mainstream,manual_override,機器人自動化;線性滑軌;精密傳動,user_authorized_seed_20260530;user_confirmed_robotics_theme
2374,佳能,光電業,機器人,機器視覺,robotics_precision_motion_theme,core_mainstream,manual_override,,user_confirmed_robotics_theme
4576,大銀微系統,電機機械,機器人,精密傳動,robotics_precision_motion_theme,core_mainstream,manual_override,,user_confirmed_robotics_theme
1597,直得,電機機械,機器人自動化,,robotics_precision_motion_theme,core_mainstream,authorized_seed,機器人自動化;線性滑軌,user_authorized_seed_20260530
2233,宇隆,,機器人自動化,,robotics_precision_motion_theme,core_mainstream,authorized_seed,機器人自動化,user_authorized_seed_20260530
2359,所羅門,其他電子業,機器人自動化,,robotics_automation_theme,core_mainstream,authorized_seed,機器人自動化,user_authorized_seed_20260530
2417,圓剛,電腦及週邊設備業,機器人自動化,軍工無人機,robotics_ipc_edge_ai_theme,core_mainstream,authorized_seed,機器人自動化;軍工無人機,user_authorized_seed_20260530
2464,盟立,其他電子業,機器人自動化,,robotics_automation_theme,core_mainstream,authorized_seed,機器人自動化,user_authorized_seed_20260530
3455,由田,,機器人自動化,,robotics_optics_sensor_theme,core_mainstream,authorized_seed,機器人自動化;機器視覺,user_authorized_seed_20260530
4583,台灣精銳,,機器人自動化,,robotics_precision_motion_theme,core_mainstream,authorized_seed,機器人自動化,user_authorized_seed_20260530
5474,聰泰,,機器人自動化,,robotics_optics_sensor_theme,core_mainstream,authorized_seed,機器人自動化;機器視覺,user_authorized_seed_20260530
6166,凌華,,機器人自動化,軍工無人機,robotics_ipc_edge_ai_theme,core_mainstream,authorized_seed,機器人自動化;軍工無人機,user_authorized_seed_20260530
6922,宸曜,,機器人自動化,,robotics_ipc_edge_ai_theme,core_mainstream,authorized_seed,機器人自動化,user_authorized_seed_20260530
1717,長興,化學工業,特化材料,特化化學;電子材料,specialty_material_theme,core_mainstream,authorized_seed,特化材料;特化化學;電子材料,user_authorized_specialty_theme_20260530
1727,中華化,,特化材料,特化化學;電子材料,specialty_material_theme,core_mainstream,authorized_seed,特化材料;特化化學;電子材料,user_authorized_specialty_theme_20260530
1303,南亞,塑膠工業,玻纖布,PCB_CCL_ABF材料,glass_fiber_ccl_theme,core_mainstream,authorized_seed,玻纖布;PCB_CCL_ABF材料,user_authorized_seed_20260530
1802,台玻,玻璃陶瓷,玻纖布,PCB_CCL_ABF材料,glass_fiber_ccl_theme,core_mainstream,authorized_seed,玻纖布;PCB_CCL_ABF材料,user_authorized_seed_20260530
1815,富喬,電子零組件業,玻纖布,PCB_CCL_ABF材料,glass_fiber_ccl_theme,core_mainstream,authorized_seed,玻纖布;PCB_CCL_ABF材料,user_authorized_seed_20260530
5340,建榮,,玻纖布,PCB_CCL_ABF材料,glass_fiber_ccl_theme,core_mainstream,authorized_seed,玻纖布;PCB_CCL_ABF材料,user_authorized_seed_20260530
5475,德宏,,玻纖布,PCB_CCL_ABF材料,glass_fiber_ccl_theme,core_mainstream,authorized_seed,玻纖布;PCB_CCL_ABF材料,user_authorized_seed_20260530
6531,愛普*,半導體業,矽智財_ASIC,,asic_advanced_process_theme,core_mainstream,authorized_seed,矽智財;ASIC,user_authorized_seed_20260530
3704,合勤控,通信網路業,網通交換器,,network_optical_datacenter_theme,core_mainstream,authorized_seed,網通交換器,user_authorized_seed_20260530
4906,正文,communications,網通交換器,network equipment,network_optical_datacenter_theme,core_mainstream,authorized_seed,網通交換器;networking;wireless,user_authorized_seed_20260530
5388,中磊,通信網路業,網通交換器,,network_optical_datacenter_theme,core_mainstream,authorized_seed,網通交換器,user_authorized_seed_20260530
2327,國巨,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
2375,凱美,electronic components,被動元件,capacitors,passive_component_theme,core_mainstream,authorized_seed,被動元件;capacitor;passive components,user_authorized_seed_20260530
2428,興勤,電子零組件業,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
2456,奇力新,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
2472,立隆電,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
2478,大毅,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
2484,希華,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
2492,華新科,electronic components,被動元件,MLCC,passive_component_theme,core_mainstream,authorized_seed,被動元件;MLCC;passive components,user_authorized_seed_20260530
3026,禾伸堂,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
3042,晶技,電子零組件業,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
3090,日電貿,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
3221,台嘉碩,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
6173,信昌電,electronic components,被動元件,ceramic powder,passive_component_theme,core_mainstream,authorized_seed,被動元件;ceramic;MLCC supply chain,user_authorized_seed_20260530
6449,鈺邦,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
6862,三集瑞-KY,電子零組件業,被動元件,電感,passive_component_theme,core_mainstream,manual_override,,user_confirmed_passive_component_theme
8043,蜜望實,,被動元件,,passive_component_theme,core_mainstream,authorized_seed,被動元件,user_authorized_seed_20260530
2344,華邦電,semiconductor,記憶體儲存,DRAM and flash,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存;memory;DRAM;flash,user_authorized_seed_20260530
2408,南亞科,半導體業,記憶體儲存,,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存,user_authorized_seed_20260530
2451,創見,半導體業,記憶體儲存,,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存,user_authorized_seed_20260530
3006,晶豪科,semiconductor,記憶體儲存,DRAM IC,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存;memory;DRAM,user_authorized_seed_20260530
3260,威剛,,記憶體儲存,,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存,user_authorized_seed_20260530
6239,力成,半導體業,記憶體儲存,,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存,user_authorized_seed_20260530
8150,南茂,半導體業,記憶體儲存,,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存,user_authorized_seed_20260530
8271,宇瞻,半導體業,記憶體儲存,,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存,user_authorized_seed_20260530
8299,群聯,,記憶體儲存,,memory_hbm_theme,core_mainstream,authorized_seed,記憶體儲存,user_authorized_seed_20260530
1536,和大,汽車工業,車用電子,,automotive_electronics_theme,core_mainstream,authorized_seed,車用電子,user_authorized_seed_20260530
2231,為升,,車用電子,,automotive_electronics_theme,core_mainstream,authorized_seed,車用電子,user_authorized_seed_20260530
3008,大立光,,車用電子,,automotive_electronics_theme,core_mainstream,authorized_seed,車用電子,user_authorized_seed_20260530
3019,亞光,光電業,車用電子,,automotive_electronics_theme,core_mainstream,authorized_seed,車用電子,user_authorized_seed_20260530
3406,玉晶光,光電業,車用電子,,automotive_electronics_theme,core_mainstream,authorized_seed,車用電子,user_authorized_seed_20260530
2634,漢翔,航運業,軍工無人機,,defense_drone_theme,core_mainstream,authorized_seed,軍工無人機,user_authorized_seed_20260530
4572,駐龍,,軍工無人機,,defense_drone_theme,core_mainstream,authorized_seed,軍工無人機,user_authorized_seed_20260530
8033,雷虎,其他,軍工無人機,,defense_drone_theme,core_mainstream,authorized_seed,軍工無人機,user_authorized_seed_20260530
8222,寶一,,軍工無人機,,defense_drone_theme,core_mainstream,authorized_seed,軍工無人機,user_authorized_seed_20260530
1503,士電,,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
1513,中興電,電機機械,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
1514,亞力,電機機械,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
1519,華城,電機機械,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
1528,恩德,電機機械,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
1605,華新,電器電纜,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
1609,大亞,電器電纜,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
1612,宏泰,電器電纜,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
1618,合機,電器電纜,重電電網,,power_grid_theme,core_mainstream,authorized_seed,重電電網,user_authorized_seed_20260530
2308,台達電,,電源_BBU,車用電子,power_supply_theme,core_mainstream,authorized_seed,電源_BBU;車用電子,user_authorized_seed_20260530
3015,全漢,,電源_BBU,,power_supply_theme,core_mainstream,authorized_seed,電源_BBU,user_authorized_seed_20260530
3023,信邦,電子零組件業,電源_BBU,,power_supply_theme,core_mainstream,authorized_seed,電源_BBU,user_authorized_seed_20260530
3211,順達,電腦及週邊設備業,電源_BBU,,power_supply_theme,core_mainstream,authorized_seed,電源_BBU,user_authorized_seed_20260530
3665,貿聯-KY,,電源_BBU,車用電子,power_supply_theme,core_mainstream,authorized_seed,電源_BBU;車用電子,user_authorized_seed_20260530
4931,新盛力,電腦及週邊設備業,電源_BBU,,power_supply_theme,core_mainstream,authorized_seed,電源_BBU,user_authorized_seed_20260530
6121,新普,,電源_BBU,,power_supply_theme,core_mainstream,authorized_seed,電源_BBU,user_authorized_seed_20260530
6206,飛捷,電腦及週邊設備業,電源_BBU,,power_supply_theme,core_mainstream,authorized_seed,電源_BBU,user_authorized_seed_20260530
6412,群電,電子零組件業,電源_BBU,,power_supply_theme,core_mainstream,authorized_seed,電源_BBU,user_authorized_seed_20260530
