exclusion_id,lineage_id,field_name,artifact_path,module,classification,evidence,contract_sha256,last_migration_id,approval_reference,required_validation_commands,notes
raw_model_score_candidate_validator,model_score__formal_raw_current,model_score,output/latest/daily_candidate_model_signals_latest.csv,scripts/validate_daily_candidate_model_layer.py,no_direct_field_read,raw_artifact_used_for_date_parity_only,c4165bcc15bd39951d9eefe4ce413204c513abe53dd558cb4c098e6623616b3b,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,model_score validation uses the report artifact.
report_model_score_background_guard,model_score__formal_report_current,model_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_daily_model_signal_background_features.py,forbidden_field_guard,forbidden_model_field_pattern,c9c3624b49cdabe5dfe470dd8423931e721563988ed80bef65036c9d60731ee8,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Background feature builder forbids rather than consumes model_score.
report_model_score_price_pullback_scope,model_score__formal_report_current,model_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_daily_price_pullback_23ema_operation_section.py,model_scope_mismatch,price_pullback_23ema_model_filter,0540c27d1a8ccdb5fbfc9220fc33065fd87644b2798fe0bf81b4ce643489a7f9,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Price-pullback adapter owns a separate model score.
report_model_score_w_bottom_scope,model_score__formal_report_current,model_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_daily_w_bottom_operation_sections.py,model_scope_mismatch,W_bottom_model_filter_and_separate_adapter,343cfd7eeb5059a1098bf143d3f078b35a029094c718e3d1b6774565ed7047ea,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,W-bottom code does not consume volume-v2 model score.
report_model_score_tdcc_scope,model_score__formal_report_current,model_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_tdcc_weekly_candidate_reports.py,model_scope_mismatch,tdcc_short_term_continuation_model_filter,179f549eb45149cfc5724edc14b330823e2ab41e114db1be19ebf6e51c76c5ef,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,TDCC weekly code is restricted to its own model.
report_model_score_theme_fallback,model_score__formal_report_current,model_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_theme_event_watch.py,cross_artifact_literal,all_candidates_fallback_uses_score,2c0b111ab242885c7b71cf25d85086e5718eac1cc9c189d17e3ac3ae1efb4157,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,model_score literal is not consumed from the formal report artifact.
report_model_score_pdf_forbidden_schema,model_score__formal_report_current,model_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/validate_daily_pdf_contract_consumers.py,schema_or_renderer_guard,forbidden_research_column_contract,d679c810c5e5cb8c9bc83e7ca4683905c6274102dd8baa5d5757cdc220145b22,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,PDF validator names model_score as a forbidden candidate field.
candidate_rank_chart_local_field,rank__all_candidates_current,rank,output/latest/all_candidates_latest.csv,generate_candidate_charts.py,no_direct_field_read,chart_sources_are_category_files,0c71e93aaab36265d7d3df87b90ff6f33a95f7021d78e1c67be8688217fa24e4,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Chart builder does not open all_candidates_latest.csv.
candidate_rank_dispatch_guard,rank__all_candidates_current,rank,output/latest/all_candidates_latest.csv,scripts/build_daily_candidate_model_layer.py,forbidden_field_guard,VOLUME_V2_FORMAL_DISPATCH_FORBIDDEN_FIELDS,b75eafeea5d3bf7b04d750bdc939f2c4c1e03828ff6ae87e084b9f17987efa04,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Dispatcher names generic rank only to reject it.
candidate_rank_tdcc_output_field,rank__all_candidates_current,rank,output/latest/all_candidates_latest.csv,scripts/build_tdcc_chatgpt_tracking_outputs.py,unrelated_local_field,tdcc_output_rank_is_locally_created,ccc0bdda18b9430e257bf77a7ddb4419a1eb426213931cd1caa975c7abb7debc,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,TDCC output rank is not candidate rank.
candidate_rank_watch_local_field,rank__all_candidates_current,rank,output/latest/all_candidates_latest.csv,scripts/build_volume_breakout_watch.py,unrelated_local_field,watch_forbidden_mirror_list_and_local_advisory_rank,0bee0d28ee6415b4e00f384e9c59ea4ef55f89bf1a0022ee24555b00b7eb1b91,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Watch builder does not consume candidate rank.
candidate_score_chart_local_field,score__all_candidates_current,score,output/latest/all_candidates_latest.csv,generate_candidate_charts.py,no_direct_field_read,chart_sources_are_category_files,fba60fd5ff9462d626ce663c93b02c261337500f23e442ee7bc731df6d8bfaf2,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Chart builder does not open all_candidates_latest.csv.
candidate_score_dispatch_guard,score__all_candidates_current,score,output/latest/all_candidates_latest.csv,scripts/build_daily_candidate_model_layer.py,forbidden_field_guard,VOLUME_V2_FORMAL_DISPATCH_FORBIDDEN_FIELDS,8a043d02c3201ac71c0bd74dc449a8970a86e8645fba550d8be31d52dfcf27d0,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Dispatcher names generic score only to reject it.
candidate_score_watch_local_field,score__all_candidates_current,score,output/latest/all_candidates_latest.csv,scripts/build_volume_breakout_watch.py,unrelated_local_field,watch_forbidden_mirror_list_and_local_advisory_score,cc912370634bb77a6aaf09382709d1b6d42c5e62d885d0086749c96baeb8934f,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Watch builder does not consume candidate score.
candidate_score_pdf_forbidden_schema,score__all_candidates_current,score,output/latest/all_candidates_latest.csv,scripts/validate_daily_pdf_contract_consumers.py,schema_or_renderer_guard,forbidden_research_column_contract,393d18a069a723303cf35ac55024a7d9ec715379c0478221f5f5764fe0ef89e4,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,PDF validator names score only as a forbidden field.
candidate_score_financial_fail_closed_schema,score__all_candidates_current,score,output/latest/all_candidates_latest.csv,scripts/validate_revenue_unreacted_range_financial_statement_fail_closed.py,schema_or_renderer_guard,forbidden_financial_statement_formal_use_scan,4bdf50e1e5a0dd48d3be5374ace7e873a860f0d5d91886c4f887e377feee132b,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Financial-statement validator scans forbidden formal fields and does not consume candidate score.
candidate_warrant_official_report_source,warrant_flow_signal__all_candidates_current,warrant_flow_signal,output/latest/all_candidates_latest.csv,scripts/build_warrant_market_report.py,cross_artifact_literal,actual_source_is_warrant_flow_latest_csv,6742fc93f771cbf29a3b08d60d22cb80d6b46646275dac6f673cc20c4dcfbecd,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Warrant market report reads the official warrant artifact.
candidate_warrant_pdf_source,warrant_flow_signal__all_candidates_current,warrant_flow_signal,output/latest/all_candidates_latest.csv,scripts/generate_chatgpt_side_daily_reports.py,cross_artifact_literal,actual_sources_are_official_and_formal_report,90b9d3815f50b0fa273e23b224af7cd2f23779315dcca9e42f9faa6cb70e41ef,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,PDF generator does not read candidate warrant for this node.
raw_warrant_indicator_routing,warrant_flow_signal__formal_raw_current,warrant_flow_signal,output/latest/daily_candidate_model_signals_latest.csv,scripts/build_chatgpt_indicator_usage_guide.py,routing_metadata_only,artifact_name_is_documentation_routing_text,22458918a880391409ba5bfc493246274fcfbd87358ddff854e2195dde446ca7,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Indicator guide does not parse the raw formal artifact.
report_warrant_indicator_routing,warrant_flow_signal__formal_report_current,warrant_flow_signal,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_chatgpt_indicator_usage_guide.py,routing_metadata_only,artifact_name_is_documentation_routing_text,d7bd81ce9a2ee6a766fab0ec1989cf302725c343093ae4b3b444a087ae51a1c6,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Indicator guide does not parse the formal report artifact.
report_warrant_background_source,warrant_flow_signal__formal_report_current,warrant_flow_signal,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/build_daily_model_signal_background_features.py,cross_artifact_literal,actual_warrant_source_is_theme_history,f5d6deb6df678388e96b9d0b934e87da4bbfe6521580e87b5fa24b6b34dd3334,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Background feature warrant value comes from theme history.
theme_warrant_indicator_routing,warrant_flow_signal__volume_attack_theme_advisory,warrant_flow_signal,output/latest/volume_attack_theme_stocks_latest.csv,scripts/build_chatgpt_indicator_usage_guide.py,routing_metadata_only,actual_warrant_dataframe_is_warrant_flow_by_stock_latest,35850647032dba4f4408e23980ea43b4fcc3a8c213625dc288760ad2a4d5aea3,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Indicator guide does not read the theme warrant projection.
watch_warrant_market_report_cross_source,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,build_daily_market_report_artifacts.py,cross_artifact_literal,watch_uses_advisory_rank_and_warrant_uses_candidates,83251756106b0bbdd31a609007d36450faba670616d3d59f1add51e9fb78df87,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Module does not read warrant from the watch artifact.
watch_warrant_indicator_routing,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,scripts/build_chatgpt_indicator_usage_guide.py,routing_metadata_only,artifact_name_is_documentation_routing_text,25c443a56ab39cb969c77cb4e31a06463263843daa2da03243f4fb8b3ad3b434,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Indicator guide does not read warrant from the watch artifact.
watch_warrant_dispatch_guard,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,scripts/build_daily_candidate_model_layer.py,forbidden_field_guard,watch_warrant_absence_and_authoritative_candidate_source_guard,7fef9e0ee02afc2cf8c34a2f273b91f55c97695b424c3b0a29bf5c9ac9c7886a,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Dispatcher forbids the watch warrant mirror.
watch_warrant_theme_cross_source,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_attack_theme_layer.py,cross_artifact_literal,watch_score_source_and_candidate_warrant_source_are_separate,8bd4db22a3991f8e146bd2bab2ff56935cdc8f9412d4012034eb8b1089147561,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Theme builder does not read warrant from the watch artifact.
watch_warrant_history_audit_guard,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_v2_warrant_lineage_history_audit.py,forbidden_field_guard,watch_warrant_absence_audit,0aa6c137913fb2b9c87500d7c04bda48f60d0decccbd3f728e6ea9448dfaf556,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,History audit records absence rather than consuming a watch value.
watch_warrant_lineage_validator_guard,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,scripts/validate_daily_canonical_field_lineage.py,schema_or_renderer_guard,forbidden_same_name_header_validation,2d064474ac5577ebf7ac45b07bd172ad46d904c197af902ab8c37471b56922b4,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Canonical validator checks that the watch column is absent.
watch_warrant_formal_sync_guard,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,scripts/validate_daily_warrant_formal_sync_scope.py,forbidden_field_guard,watch_warrant_absence_guard,313e4d898ced3ea4c564510d39a9f5cf62c4e300e46352625ac61eb21c68485d,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Formal sync validator rejects a watch warrant mirror.
watch_warrant_theme_validator_guard,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,scripts/validate_volume_attack_theme_layer.py,cross_artifact_literal,watch_score_parity_and_candidate_warrant_parity_are_separate,80cae1cddca3b6399b14d68d8787f4ef14cb9ea478889bb1ac99511e01756bcc,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Theme validator does not consume warrant from the watch artifact.
watch_warrant_history_validator_guard,warrant_flow_signal__volume_watch_forbidden,warrant_flow_signal,output/latest/volume_breakout_watch_latest.csv,scripts/validate_volume_v2_warrant_lineage_history_audit.py,forbidden_field_guard,watch_warrant_absence_audit_validation,70bf734130e27122e62e1b368c98467e1e8b6a162bbf480073a993dbe0a611ab,canonical_field_consumer_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,History validator checks absence rather than reading a watch value.
candidate_rank_theme_builder_cross_artifact,rank__all_candidates_current,rank,output/latest/all_candidates_latest.csv,scripts/build_volume_attack_theme_layer.py,cross_artifact_literal,watch_sensitive_field_guard_and_advisory_theme_projection,241a9ef66ea773ec9258ccdcb9b17c5ed2611ae3c4b55df3f02eac351a65799a,canonical_field_consumer_theme_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Theme builder reads candidate warrant fields only; generic rank literals guard watch input and label the advisory theme output.
candidate_score_theme_builder_cross_artifact,score__all_candidates_current,score,output/latest/all_candidates_latest.csv,scripts/build_volume_attack_theme_layer.py,cross_artifact_literal,watch_sensitive_field_guard_and_advisory_theme_projection,2c812734bf2737711051733f9adf0ab6271e35db18b9525057faf2b0d23727fa,canonical_field_consumer_theme_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Theme builder reads candidate warrant fields only; generic score literals guard watch input and label the advisory theme output.
candidate_rank_theme_validator_schema_guard,rank__all_candidates_current,rank,output/latest/all_candidates_latest.csv,scripts/validate_volume_attack_theme_layer.py,schema_or_renderer_guard,theme_output_forbidden_raw_field_schema,1950a6acb91d17eb383197b2a1ca33dfef50c5a761e23a50bac49416e645e044,canonical_field_consumer_theme_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Theme validator names rank only to reject a leaked raw field from the advisory theme output.
candidate_score_theme_validator_schema_guard,score__all_candidates_current,score,output/latest/all_candidates_latest.csv,scripts/validate_volume_attack_theme_layer.py,schema_or_renderer_guard,theme_output_forbidden_raw_field_schema,8c52d61342510c9e1a59c0473efcb63f24147499c89079728c50c10ca2c3e98a,canonical_field_consumer_theme_exclusions_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py;python -m pytest tests/test_daily_canonical_field_lineage.py,Theme validator names score only to reject a leaked raw field from the advisory theme output.
report_model_score_ranking_validator_hash_proof,model_score__formal_report_current,model_score,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/validate_daily_published_snapshot_ranking_backtest.py,hash_lineage_proof_only,paired_commit_blob_sha_only_no_current_field_parse,1e65b7cec37ec4da6e079993fe1a33abf05a179351d6638dcc1ace3e6f0ce88c,daily_published_ranking_validator_current_hash_exclusions_20260720,user_selected_option_1_daily_snapshot_revision_lineage_20260720,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_published_snapshot_ranking_backtest.py;python -m pytest tests/test_daily_canonical_field_lineage.py tests/test_daily_published_snapshot_ranking_backtest.py,Validator pins the paired Git blob SHA and does not parse the current report field.
report_model_rank_ranking_validator_hash_proof,model_rank__formal_report_current,model_rank,output/latest/daily_candidate_model_signals_for_report_latest.csv,scripts/validate_daily_published_snapshot_ranking_backtest.py,hash_lineage_proof_only,paired_commit_blob_sha_only_no_current_field_parse,fadb187b80e099e74ca2ae8194460bd88431763073aeda4f3797e8b8cc026740,daily_published_ranking_validator_current_hash_exclusions_20260720,user_selected_option_1_daily_snapshot_revision_lineage_20260720,python scripts/validate_daily_canonical_field_lineage.py;python scripts/validate_daily_published_snapshot_ranking_backtest.py;python -m pytest tests/test_daily_canonical_field_lineage.py tests/test_daily_published_snapshot_ranking_backtest.py,Validator pins the paired Git blob SHA and does not parse the current report field.
