path,artifact_type,owner_lane,producer,known_consumers,referenced_by_scripts,referenced_by_docs,referenced_by_workflows,referenced_by_validators,latest_modified_date,tracked_in_git,classification,recommended_action,delete_risk,notes
output/latest/catalyst_data_source_status_latest.md,md,daily_production,unknown,.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,,.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,2026-06-20,true,pipeline_necessary,keep,high,classification_only_no_move_no_delete
output/latest/catalyst_layer_validation_latest.md,md,daily_production,unknown,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;...(+10),,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/chatgpt_daily_report_packet_manifest.json;output/latest/report_publish_check_latest.json,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,2026-06-20,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/catalyst_needs_review_latest.csv,csv,daily_production,unknown,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml;docs/event_calendar_data_layer.md;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;...(+12),,docs/event_calendar_data_layer.md;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;docs/latest/event_calendar_validation_latest.json;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/event_calendar_validation_latest.json;output/latest/report_publish_check_latest.json,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,2026-06-20,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/catalyst_needs_review_latest.md,md,daily_production,unknown,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml;docs/event_calendar_data_layer.md;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;...(+12),,docs/event_calendar_data_layer.md;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;docs/latest/event_calendar_validation_latest.json;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/event_calendar_validation_latest.json;output/latest/report_publish_check_latest.json,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,2026-06-20,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/catalyst_summary_latest.csv,csv,daily_production,unknown,.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;...(+9),,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/chatgpt_daily_report_packet_manifest.json;output/latest/report_publish_check_latest.json,.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,2026-06-20,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/catalyst_summary_latest.md,md,daily_production,unknown,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;...(+10),,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/chatgpt_daily_report_packet_manifest.json;output/latest/report_publish_check_latest.json,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,2026-06-20,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/chatgpt_indicator_usage_guide_latest.md,md,daily_production,unknown,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;...(+10),,docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;docs/rules/daily_stock_candidate_rules.md;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/chatgpt_daily_report_packet_manifest.json;output/latest/report_publish_check_latest.json,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,2026-06-20,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/chip_flow_positive_streak_latest.csv,csv,daily_production,unknown,,,,,,2026-05-23,true,unknown,unknown,unknown,classification_only_no_move_no_delete;no_rg_or_lineage_consumer_found
output/latest/chip_flow_positive_streak_latest.md,md,daily_production,unknown,,,,,,2026-05-24,true,unknown,unknown,unknown,classification_only_no_move_no_delete;no_rg_or_lineage_consumer_found
output/latest/diagnostics/chip_flow_source_status_latest.md,md,daily_production,unknown,,,,,,2026-05-24,true,diagnostic_stale_candidate,candidate_for_future_cleanup,low,relocated_to_output_latest_diagnostics_20260621;no_rg_or_lineage_consumer_found;no_root_alias_required
