path,type,owner,status,called_by_workflow,imported_by,tested_by,documented_by,writes_artifact,reads_artifact,keep_reason,delete_reason,removal_risk
build_chatgpt_daily_report_rules.py,python,repo_infrastructure,active,.github/workflows/daily_full_pipeline.yml,,tests/test_daily_production_boundaries.py;tests/test_repo_code_isolation_policy.py,,output/latest/CHATGPT_DAILY_REPORT_RULES.txt,rules/daily_stock_candidate_rules.md;rules/master_priority_rules.md,repository infrastructure script: build_chatgpt_daily_report_rules,,high
build_daily_market_report_artifacts.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,tests/test_daily_production_boundaries.py,docs/pdf_production_inventory.md,output/latest/daily_market_full_latest.pdf;output/latest/daily_market_summary_latest.pdf,output/latest/daily_candidate_model_signals_for_report_latest.csv,daily production script: build_daily_market_report_artifacts,,high
build_data_freshness_latest.py,python,repo_infrastructure,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/warrant_flow.yml,tests/test_data_freshness_latest.py,tests/test_data_freshness_latest.py,,,,repository freshness status builder shared by daily and warrant lanes,,high
build_revenue_breakout_low_response.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,,,,,daily production script: build_revenue_breakout_low_response,,high
build_warrant_flow_latest.py,python,warrant,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/warrant_flow.yml,,tests/test_daily_production_boundaries.py,,,,warrant data/report script: build_warrant_flow_latest,,high
current_holdings_pattern.py,python,current_holdings,active,.github/workflows/current_holdings_pattern.yml,,,,,,current holdings workflow script: current_holdings_pattern,,medium
debug_tpex_fetch.py,python,diagnostics,manual_diagnostic,.github/workflows/debug_tpex_fetch.yml,,,,,,diagnostic utility: debug_tpex_fetch,,low
docs/APPS_SCRIPT_DAILY_MONITOR_RECOVERY.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/APPS_SCRIPT_WORKFLOW_TRIGGER.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/CHATGPT_DAILY_REPORT_USAGE_PROMPT.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/CODEX_THREAD_WORKFLOW.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/STOCK_PRICE_HISTORY_USAGE_RULES.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/apps_script_workflow_trigger.gs,executable_script,repo_infrastructure,active,,,,docs/APPS_SCRIPT_WORKFLOW_TRIGGER.md;docs/thread_templates/research_backtest.md,,,Google Apps Script workflow trigger helper documented for external automation,,high
docs/daily_candidate_signal_tracking.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/daily_pdf_template_independence_inventory.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/event_calendar_data_layer.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/fundamental_catalyst_layer.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/latest/CHATGPT_DAILY_REPORT_RULES.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,,,,generated active guidance artifact checked for stale command references,,none
docs/latest/READ_ME_FIRST_DAILY_REPORT.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,,,,generated active guidance artifact checked for stale command references,,none
docs/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,,,,generated active guidance artifact checked for stale command references,,none
docs/latest/chatgpt_daily_report_packet_latest.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,,,,generated active guidance artifact checked for stale command references,,none
docs/market_regime_data_source_plan.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/pdf_production_inventory.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/repo_production_inventory.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/specs/daily_volume_breakout_operation_section_contract.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/specs/volume_breakout_operation_scoring_work_objective_20260618.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/specs/volume_breakout_operation_pdf_table_spec.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/tdcc_pre_move_accumulation.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/tdcc_signal_tracking.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/thread_templates/README.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
docs/thread_templates/ci_release.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md,,,active project guidance checked for executable command references,,none
docs/thread_templates/daily_production.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md,,,active project guidance checked for executable command references,,none
docs/thread_templates/research_backtest.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md,,,active project guidance checked for executable command references,,none
docs/thread_templates/tdcc_weekly.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md,,,active project guidance checked for executable command references,,none
docs/warrant_market_tracking.md,guidance_doc,repo_infrastructure,active,,,,,,,active project guidance checked for executable command references,,none
ensure_daily_report_readme.py,python,repo_infrastructure,active,,,,,,,repository infrastructure script: ensure_daily_report_readme,,high
ensure_report_aliases.py,python,repo_infrastructure,active,.github/workflows/daily_full_pipeline.yml,tests/test_pdf_production_inventory.py,tests/test_pdf_production_inventory.py,,,,repository infrastructure script: ensure_report_aliases,,high
fetch_official_daily_price.py,python,official_price_data,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/official_price_fetch.yml,scripts/repair_daily_price_range.py;tests/test_fetch_official_daily_price_quality.py,tests/test_fetch_official_daily_price_quality.py;tests/test_repo_production_inventory.py,,,,official price data script: fetch_official_daily_price,,high
generate_candidate_charts.py,python,diagnostics,manual_diagnostic,,,,,,,diagnostic utility: generate_candidate_charts,,low
merge_warrant_flow_into_candidates.py,python,warrant,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/warrant_flow.yml,,,,,,warrant data/report script: merge_warrant_flow_into_candidates,,high
output/latest/CHATGPT_DAILY_REPORT_PACKET.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,,,,generated active guidance artifact checked for stale command references,,none
output/latest/CHATGPT_DAILY_REPORT_RULES.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/report_publish_check_latest.md;rules/daily_stock_candidate_rules.md;rules/master_priority_rules.md;rules/rules_index_latest.md,,,generated active guidance artifact checked for stale command references,,none
output/latest/READ_ME_FIRST_DAILY_REPORT.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,AGENTS.md;docs/CHATGPT_DAILY_REPORT_USAGE_PROMPT.md;docs/CODEX_THREAD_WORKFLOW.md;docs/latest/CHATGPT_DAILY_REPORT_RULES.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.txt;docs/thread_templates/ci_release.md;docs/thread_templates/daily_production.md;docs/thread_templates/research_backtest.md;docs/thread_templates/tdcc_weekly.md;output/latest/CHATGPT_DAILY_REPORT_RULES.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.txt;rules/daily_stock_candidate_rules.md;rules/market_opening_prep_rules.md;rules/master_priority_rules.md;rules/rules_index_latest.md;rules/single_stock_report_rules.md;rules/tdcc_weekly_rules.md,,,generated active guidance artifact checked for stale command references,,none
output/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt,,,generated active guidance artifact checked for stale command references,,none
output/latest/chatgpt_daily_report_packet_latest.txt,generated_guidance,repo_infrastructure,generated_artifact,,,,docs/CHATGPT_DAILY_REPORT_USAGE_PROMPT.md;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/report_publish_check_latest.md,,,generated active guidance artifact checked for stale command references,,none
output/latest/report_manifest_latest.md,generated_guidance,repo_infrastructure,generated_artifact,,,,,,,generated active guidance artifact checked for stale command references,,none
output/latest/report_publish_check_latest.md,generated_guidance,repo_infrastructure,generated_artifact,,,,,,,generated active guidance artifact checked for stale command references,,none
publish_chatgpt_report_readme_and_check.py,python,repo_infrastructure,active,.github/workflows/daily_full_pipeline.yml,ensure_daily_report_readme.py,tests/test_chatgpt_side_pdf_contract.py;tests/test_daily_production_boundaries.py;tests/test_repo_code_isolation_policy.py,docs/pdf_production_inventory.md,output/latest/READ_ME_FIRST_DAILY_REPORT.txt,output/latest/data_freshness_latest.csv;scripts/run_chatgpt_daily_report_entrypoint.py,repository infrastructure script: publish_chatgpt_report_readme_and_check,,high
rules/astrology_rules.md,guidance_doc,repo_infrastructure,active,,,,docs/latest/CHATGPT_DAILY_REPORT_RULES.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/CHATGPT_DAILY_REPORT_RULES.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;rules/rules_index_latest.md,,,active project guidance checked for executable command references,,none
rules/daily_stock_candidate_rules.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md;docs/latest/CHATGPT_DAILY_REPORT_RULES.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/thread_templates/daily_production.md;docs/thread_templates/research_backtest.md;output/latest/CHATGPT_DAILY_REPORT_RULES.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;rules/daily_stock_candidate_rules.md;rules/rules_index_latest.md,,,active project guidance checked for executable command references,,none
rules/futures_options_vix_rules.md,guidance_doc,repo_infrastructure,active,,,,docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;rules/market_opening_prep_rules.md;rules/rules_index_latest.md,,,active project guidance checked for executable command references,,none
rules/market_opening_prep_rules.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;rules/market_opening_prep_rules.md;rules/rules_index_latest.md,,,active project guidance checked for executable command references,,none
rules/master_priority_rules.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md;docs/latest/CHATGPT_DAILY_REPORT_RULES.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/thread_templates/ci_release.md;docs/thread_templates/daily_production.md;docs/thread_templates/research_backtest.md;docs/thread_templates/tdcc_weekly.md;output/latest/CHATGPT_DAILY_REPORT_RULES.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;rules/daily_stock_candidate_rules.md;rules/market_opening_prep_rules.md;rules/master_priority_rules.md;rules/rules_index_latest.md;rules/single_stock_report_rules.md;rules/tdcc_weekly_rules.md,,,active project guidance checked for executable command references,,none
rules/rules_index_latest.md,guidance_doc,repo_infrastructure,active,,,,docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt,,,active project guidance checked for executable command references,,none
rules/single_stock_report_rules.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md;rules/rules_index_latest.md;rules/single_stock_report_rules.md,,,active project guidance checked for executable command references,,none
rules/tdcc_weekly_rules.md,guidance_doc,repo_infrastructure,active,,,,docs/CODEX_THREAD_WORKFLOW.md;docs/thread_templates/tdcc_weekly.md;rules/rules_index_latest.md;rules/tdcc_weekly_rules.md,,,active project guidance checked for executable command references,,none
scripts/action_decision_utils.py,python,individual_stock,active,,scripts/build_individual_stock_chatgpt_packets.py;scripts/generate_individual_stock_report.py,,,,,individual-stock action wording helper; not allowed in daily production surfaces,,medium
scripts/apply_fundamental_catalyst_layer.py,python,catalyst_event,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,,,,,catalyst/event data script: apply_fundamental_catalyst_layer,,medium
scripts/apply_revenue_industry_applicability.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,,,,,daily production script: apply_revenue_industry_applicability,,high
scripts/audit_daily_candidate_model_selection_correctness.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,scripts/audit_daily_candidate_pipeline_integrity.py;tests/test_daily_candidate_model_layer.py,tests/test_daily_candidate_model_layer.py,,,,daily production script: audit_daily_candidate_model_selection_correctness,,high
scripts/audit_daily_candidate_pipeline_integrity.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,,,,,daily production script: audit_daily_candidate_pipeline_integrity,,high
scripts/audit_daily_data_layer_consistency.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,,,,,daily production script: audit_daily_data_layer_consistency,,high
scripts/backfill_tdcc_history.py,python,tdcc_weekly,active,.github/workflows/tdcc_history_backfill.yml,,,docs/tdcc_signal_tracking.md,,,TDCC weekly/holder-flow script: backfill_tdcc_history,,medium
scripts/build_approved_operation_patterns.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,scripts/validate_approved_operation_patterns.py;tests/test_approved_operation_patterns.py,tests/test_approved_operation_patterns.py;tests/test_repo_code_isolation_policy.py,,,,research/backtest script: build_approved_operation_patterns,,medium
scripts/build_candidate_repeat_appearance.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,,,,,daily production script: build_candidate_repeat_appearance,,high
scripts/build_chatgpt_indicator_usage_guide.py,python,repo_infrastructure,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,tests/test_daily_production_boundaries.py,,,,repository infrastructure script: build_chatgpt_indicator_usage_guide,,high
scripts/build_daily_candidate_model_layer.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,scripts/audit_daily_candidate_model_selection_correctness.py;scripts/audit_daily_candidate_pipeline_integrity.py;scripts/build_daily_model_parameter_research.py;scripts/validate_daily_model_research_parity.py;tests/test_daily_candidate_model_layer.py;tests/test_daily_model_parameter_research.py,tests/test_daily_candidate_model_layer.py;tests/test_daily_model_parameter_research.py;tests/test_daily_production_boundaries.py,,output/latest/daily_candidate_model_signals_for_report_latest.csv,output/latest/all_candidates_latest.csv;output/latest/stock_theme_taxonomy_latest.csv,daily production script: build_daily_candidate_model_layer,,high
scripts/build_daily_model_parameter_recommendations.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,tests/test_daily_model_parameter_recommendations.py,tests/test_daily_model_parameter_recommendations.py;tests/test_daily_production_boundaries.py,,,,research/backtest script: build_daily_model_parameter_recommendations,,medium
scripts/build_daily_model_parameter_research.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,scripts/validate_daily_model_research_parity.py;tests/test_daily_model_parameter_research.py,tests/test_daily_model_parameter_research.py,,,,research/backtest script: build_daily_model_parameter_research,,medium
scripts/build_daily_published_snapshot_ranking_backtest.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,scripts/validate_daily_published_snapshot_ranking_backtest.py;tests/test_daily_published_snapshot_ranking_backtest.py,tests/test_daily_published_snapshot_ranking_backtest.py,,,,published daily snapshot ranking backtest,,medium
scripts/build_daily_report_model_summary.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,,,,,daily production script: build_daily_report_model_summary,,high
scripts/build_daily_short_term_specialty_packet.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,,,,,,daily production short-term specialty packet,,high
scripts/build_daily_theme_leadership_layer.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,tests/test_daily_theme_leadership_layer.py,tests/test_daily_production_boundaries.py;tests/test_daily_theme_leadership_layer.py,,,,daily production script: build_daily_theme_leadership_layer,,high
scripts/build_daily_volume_breakout_operation_section.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,tests/test_daily_volume_breakout_operation_section.py;tests/test_volume_breakout_confirmed_operation_backtest.py,tests/test_daily_volume_breakout_operation_section.py;tests/test_volume_breakout_confirmed_operation_backtest.py,,output/latest/daily_volume_breakout_operation_section_latest.csv,output/latest/daily_candidate_model_signals_for_report_latest.csv;output/history/daily_model_snapshots;data/stock_price_history;output/latest/volume_breakout_formal_operation_backtest_latest.csv;output/latest/approved_operation_patterns_latest.csv,daily production script: build_daily_volume_breakout_operation_section,,high
scripts/build_historical_pattern_operation_registry.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,scripts/build_volume_breakout_buy_signal_grid.py;scripts/build_volume_breakout_confirmed_operation_backtest.py;scripts/build_volume_breakout_tdcc_buy_signal_grid.py;tests/test_historical_pattern_operation_registry.py,tests/test_historical_pattern_operation_registry.py,,,,research/backtest script: build_historical_pattern_operation_registry,,medium
scripts/build_volume_breakout_buy_signal_grid.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,scripts/build_volume_breakout_tdcc_buy_signal_grid.py;scripts/validate_volume_breakout_buy_signal_grid.py;tests/test_volume_breakout_buy_signal_grid.py,tests/test_volume_breakout_buy_signal_grid.py,,,,research/backtest script: build_volume_breakout_buy_signal_grid,,medium
scripts/build_volume_breakout_tdcc_buy_signal_grid.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,scripts/validate_volume_breakout_tdcc_buy_signal_grid.py;tests/test_volume_breakout_tdcc_buy_signal_grid.py,tests/test_volume_breakout_tdcc_buy_signal_grid.py,,,,research/backtest script: build_volume_breakout_tdcc_buy_signal_grid,,medium
scripts/build_individual_stock_chatgpt_packets.py,python,individual_stock,active,.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml,,,,,,individual stock report/data script: build_individual_stock_chatgpt_packets,,medium
scripts/build_individual_stock_raw_data_index.py,python,individual_stock,active,.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml,,,,,,individual stock report/data script: build_individual_stock_raw_data_index,,medium
scripts/build_individual_stock_technical_snapshot.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,,,,,daily production stock-level technical snapshot used by full-market daily candidates,,high
scripts/build_market_regime_dashboard.py,python,market_risk,active,.github/workflows/daily_full_pipeline.yml,,,docs/daily_pdf_template_independence_inventory.md;docs/pdf_production_inventory.md,output/latest/market_risk_dashboard_latest.pdf,output/latest/market_regime_latest.csv,market risk/context script: build_market_regime_dashboard,,medium
scripts/build_market_sentiment_context.py,python,market_risk,active,.github/workflows/daily_full_pipeline.yml,scripts/validate_market_sentiment_context.py,,,,,market risk/context script: build_market_sentiment_context,,medium
scripts/build_market_timing_chatgpt_packet.py,python,market_risk,active,.github/workflows/daily_full_pipeline.yml,scripts/build_market_sentiment_context.py,,,,,market timing ChatGPT packet,,medium
scripts/build_market_timing_technical_backtest.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,,,,,,market timing technical research backtest,,medium
scripts/build_model_operation_readiness.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,scripts/validate_model_operation_readiness.py;tests/test_model_operation_readiness.py,tests/test_model_operation_readiness.py;tests/test_repo_code_isolation_policy.py,,,,research operation readiness bridge artifact,,medium
scripts/build_msci_taiwan_rebalance_backtest.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,,,,,,research/backtest script: build_msci_taiwan_rebalance_backtest,,medium
scripts/build_non_revenue_momentum_watch.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,tests/test_non_revenue_momentum_watch.py,tests/test_daily_production_boundaries.py;tests/test_non_revenue_momentum_watch.py,,,,daily production script: build_non_revenue_momentum_watch,,high
scripts/build_stock_price_history.py,python,official_price_data,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/official_price_backfill.yml;.github/workflows/repair_daily_price_range.yml;.github/workflows/repair_one_daily_price.yml,,tests/test_daily_price_history_continuity.py;tests/test_stock_price_history_incremental.py,,,,official price data script: build_stock_price_history,,high
scripts/repair_daily_price_range.py,python,official_price_data,active,.github/workflows/repair_daily_price_range.yml;.github/workflows/repair_one_daily_price.yml,,tests/test_daily_price_history_continuity.py,,,,official price data range repair entrypoint,,high
scripts/validate_daily_price_history_continuity.py,python,official_price_data,active,.github/workflows/daily_full_pipeline.yml;.github/workflows/repair_daily_price_range.yml;.github/workflows/repair_one_daily_price.yml,,tests/test_daily_price_history_continuity.py,,,,official price data continuity gate,,high
scripts/build_stock_theme_taxonomy.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,,tests/test_stock_theme_taxonomy.py,,output/latest/stock_theme_taxonomy_latest.csv,config/stock_theme_map.csv;output/latest/company_industry_snapshot_latest.csv,daily production script: build_stock_theme_taxonomy,,high
scripts/build_surge_precondition_model.py,python,research_backtest,active,.github/workflows/research_backtest_pipeline.yml,,,,,,research/backtest script: build_surge_precondition_model,,medium
scripts/build_tdcc_chatgpt_tracking_outputs.py,python,tdcc_weekly,active,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml,scripts/build_tdcc_weekly_candidate_reports.py,tests/test_tdcc_chatgpt_tracking_outputs.py,,,,TDCC weekly/holder-flow script: build_tdcc_chatgpt_tracking_outputs,,medium
scripts/build_tdcc_overheated_short_term_edge.py,python,tdcc_weekly,active,.github/workflows/research_backtest_pipeline.yml;.github/workflows/tdcc_weekly.yml,,,,,,TDCC overheated short-term edge builder for TDCC weekly and TDCC research outputs,,medium
scripts/build_tdcc_pre_move_accumulation.py,python,tdcc_weekly,active,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml,,,,,,TDCC weekly/holder-flow script: build_tdcc_pre_move_accumulation,,medium
scripts/build_tdcc_signal_effectiveness_report.py,python,tdcc_weekly,active,.github/workflows/tdcc_history_backfill.yml,,,,,,TDCC signal effectiveness report builder for TDCC history outputs,,medium
scripts/build_tdcc_signal_structures.py,python,tdcc_weekly,active,.github/workflows/research_backtest_pipeline.yml;.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml,,,,,,TDCC normalized signal structure builder used by TDCC weekly and TDCC research workflows,,medium
scripts/build_tdcc_stock_history.py,python,tdcc_weekly,active,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml,,,docs/tdcc_signal_tracking.md,,,TDCC weekly/holder-flow script: build_tdcc_stock_history,,medium
scripts/build_tdcc_weekly_candidate_reports.py,python,tdcc_weekly,active,.github/workflows/tdcc_weekly.yml,scripts/build_tdcc_weekly_ranking_backtest.py;tests/test_tdcc_weekly_ranking_backtest.py,tests/test_tdcc_weekly_ranking_backtest.py,docs/daily_pdf_template_independence_inventory.md;docs/pdf_production_inventory.md,output/latest/tdcc_weekly_candidate_full_latest.pdf;output/latest/tdcc_weekly_candidate_highlight_latest.pdf,output/latest/tdcc_weekly_candidate_full_for_report_latest.csv;output/latest/tdcc_weekly_candidate_highlight_for_report_latest.csv,TDCC weekly/holder-flow script: build_tdcc_weekly_candidate_reports,,medium
