data_family_id,ownership_mode,owner_model_or_family,registered_producers,producer_write_scope,consumer_access_mode,approved_consumer_models,data_contract_sha256,last_migration_id,sharing_decision_reference,formal_evidence_policy,new_consumer_policy,notes
monthly_revenue_point_in_time_panel,approved_shared_objective,daily_model_maintenance,scripts/build_monthly_revenue_point_in_time_panel.py,output/latest/research_backtest/monthly_revenue_point_in_time_panel_latest.csv,read_only_objective_feature_input,all_models,02f9b6c407883b99b03c6c173ff15f46d6e946a457af01fc122cab89d06e1869,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,input_only_never_standalone_promotion_evidence,user_approval_and_registry_migration_required,Threshold anomaly fields are unresolved candidates and remain valid objective values in primary metrics.
theme_taxonomy_latest,latest_context_not_historical,daily_production,scripts/build_stock_theme_taxonomy.py,output/latest/stock_theme_taxonomy_latest.csv,current_date_context_only,all_models,917e3644475103da6a24b712bf4a763646a2bb5d6b1dbff960f2b6455b0c98a9,baseline_data_20260712,baseline_existing_contract_20260712,not_formal_historical_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
price_pullback_23ema_research_outputs,model_owned_not_shared,price_pullback_23ema,scripts/build_price_pullback_23ema_research.py,output/latest/research_backtest/price_pullback_23ema_*_latest.csv,owner_model_research_only,price_pullback_23ema,5a4f318a881e2aade837eb65916bd650fdac9702d2cbe406f3e0c9c9c71de2d5,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,23EMA primary research metrics retain unresolved candidates and sensitivity rows cannot replace primary performance.
price_pullback_23ema_revenue_condition_matrix,model_owned_not_shared,price_pullback_23ema,scripts/build_price_pullback_23ema_research.py,output/latest/research_backtest/price_pullback_23ema_revenue_condition_matrix_latest.csv,owner_model_research_only,price_pullback_23ema,ada29f7e050150273eb3eccc5ad3b42649e1db110334eb327ccd0cbc9d3c172f,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Model-specific revenue metrics retain unresolved candidates in primary rows.
price_pullback_23ema_promotion_matrix,model_owned_not_shared,price_pullback_23ema,scripts/build_price_pullback_23ema_research.py,output/latest/research_backtest/price_pullback_23ema_promotion_matrix_latest.csv,owner_model_research_only,price_pullback_23ema,33690dc031d32190375eb1984497f5b48882c2a395190992c18d9fb3b408e83f,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Promotion metric rows use primary candidate-retaining evidence and unresolved candidates block promotion.
revenue_unreacted_range_revenue_condition_matrix,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_revenue_condition_matrix_latest.csv,owner_model_research_only,revenue_unreacted_range,ed8750ab708a521c25dd7fa63ae57575888741f74f3fe1ec5c2915543b6f4cd0,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Primary model rows retain unresolved revenue candidates and exclusion rows are sensitivity-only.
revenue_unreacted_range_operation_candidate_matrix,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_operation_candidate_matrix_latest.csv,owner_model_research_only,revenue_unreacted_range,2916eeb6a8b13d73505068aafdea9f85b9d38595529af2866bff65036152419f,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Primary operation-candidate metrics retain unresolved candidates and remain blocked from promotion.
revenue_unreacted_range_feature_contrast_audit,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_feature_contrast_audit_latest.csv,owner_model_research_only,revenue_unreacted_range,289aab7764939a9eab80a8427d870ce94e7350f87927bd33f1840df26dd897ce,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Primary feature evidence retains unresolved candidate rows and values.
revenue_unreacted_range_close_confirmation_timing_audit,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_close_confirmation_timing_audit_latest.csv,owner_model_research_only,revenue_unreacted_range,c99b6fb2080896b4cbb432ad6d0e2468bdcd9148c638a469563e545a1c1c2ed4,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Primary timing metrics retain source and path candidates while exclusion rows remain sensitivity-only.
revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_fixed_confirmation_feature_contrast_audit_latest.csv,owner_model_research_only,revenue_unreacted_range,cf59df65d092aa900528b0f11a5440a4917386ed77f4fcbae1bcf3850a4a285e,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Primary fixed-confirmation trade and feature metrics retain unresolved candidates.
revenue_unreacted_range_extreme_return_path_audit,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_extreme_return_path_audit_latest.csv,owner_model_research_only,revenue_unreacted_range,8b52d4659d3212236328ecb1b2decb582fb6a063bdc598bf98d4bfae79c55719,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Partial root-cause audit is model-owned and cannot assign final disposition until all checks complete.
revenue_unreacted_range_lag_strength_matrix,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_lag_strength_matrix_latest.csv,owner_model_research_only,revenue_unreacted_range,c42e820afc93e6f467de7103f70b19faae344dcb40e96048ab11318fe75a54df,anomaly_candidate_primary_metrics_20260712,user_approved_anomaly_root_cause_governance_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Lag and strength conclusions retain unresolved candidates and remain model-owned research only.
volume_range_breakout_v2_high_position_improvement_audit,model_owned_not_shared,volume_range_breakout_v2,scripts/build_volume_range_breakout_v2_research.py,output/latest/research_backtest/volume_range_breakout_v2_high_position_improvement_audit_latest.csv,owner_model_research_only,volume_range_breakout_v2_high_position_volume_attack,c00d537374c5788546790bd5485699a51b08f9e082d7ea40b0100f45ee88efa0,baseline_data_20260712,baseline_existing_contract_20260712,research_only_unless_separately_pinned,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
mature_model_row_level_metric_contract_audit,cross_model_audit_not_model_evidence,daily_model_maintenance_cross_model_audit,scripts/build_mature_model_row_level_metric_contract_audit.py,output/latest/mature_model_row_level_metric_contract_audit_latest.csv,read_only_contract_audit,volume_range_breakout_v2_low_position_volume_attack;volume_range_breakout_v2_mid_position_momentum_attack;w_bottom_right_side;neckline_volume_breakout_confirmation;price_pullback_23ema;volume_range_breakout_v2_high_position_volume_attack,1d339c997af669809d4ddc84b97ee35d4e42a12e97390d5a86d98f8f6760a87f,baseline_data_20260712,baseline_existing_contract_20260712,not_formal_model_evidence,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
neckline_context_interpretation,model_family_owned_not_shared,w_bottom_model_family,scripts/build_daily_candidate_model_layer.py,output/latest/daily_candidate_model_signals_for_report_latest.csv,registered_model_family_runtime_only,neckline_volume_breakout_confirmation,7dfc57a6727c407b76900097e7824bddc512d317526f1bdf24d27410de06ba75,baseline_data_20260712,baseline_existing_contract_20260712,production_semantic_input_only,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
w_bottom_shape_interpretation,model_family_owned_not_shared,w_bottom_model_family,scripts/build_daily_candidate_model_layer.py,output/latest/daily_candidate_model_signals_for_report_latest.csv,registered_model_family_runtime_only,w_bottom_right_side;neckline_volume_breakout_confirmation,b942b5dcdecc636f10c966815f2ef11221582ac329e2311f9c9fdffddcd1d5f5,baseline_data_20260712,baseline_existing_contract_20260712,production_semantic_input_only,user_approval_and_registry_migration_required,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
volume_breakout_operation_research_outputs,legacy_frozen_no_new_consumers,research_backtest_legacy_volume_range_breakout_v1,scripts/build_volume_breakout_confirmed_operation_backtest.py,output/latest/volume_breakout_*_latest.csv,no_new_consumers,volume_range_breakout,07a5a51735d24d0c78c9d412be9dbe5cdcebe8fd6c88e05f19f4d0d24d712f48,baseline_data_20260712,baseline_existing_contract_20260712,forbidden_as_formal_evidence,forbidden,Baseline inventory records existing ownership only; it is not approval to add writers consumers or cross-model use.
revenue_unreacted_range_launch_timing_feature_audit,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_launch_timing_feature_audit_latest.csv,owner_model_research_only,revenue_unreacted_range,7fae8b6102f7cac5715ef3845ee6345788bee7d57188c9eff5d754219a632145,revenue_price_comparability_2380_20260713,user_adopted_rearmed_grid_and_required_bottom_level_2380_review_20260713,research_only_unless_forward_trigger_backtest_is_separately_pinned,user_approval_and_registry_migration_required,Retrospective launch labels success failure feature contrasts and the model-owned 3593 and 2380 price comparability resolutions remain revenue_unreacted_range research only; they are not a shared corporate-action data layer.
revenue_unreacted_range_source_first_condition_audit,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_source_first_condition_audit_latest.csv,owner_model_research_only,revenue_unreacted_range,ed1c90dfeba7846f6078c01a116967b2cc42e695d37471c6892402b9e7acb044,revenue_operation_lag_bucket_audit_20260714,user_requested_revenue_operation_lag_bucket_audit_20260714,research_only_unless_forward_confirmation_backtest_is_separately_pinned,user_approval_and_registry_migration_required,Source-first condition sweeps known-case coverage retrospective launch labels first-breakout pressure tests and aligned qualifying revenue lineage remain revenue_unreacted_range research only. Downstream lag analysis must use only updates known as of each trigger and no other model may consume this lineage.
revenue_unreacted_range_forward_confirmation_feature_audit,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_forward_confirmation_feature_audit_latest.csv,owner_model_research_only,revenue_unreacted_range,995625483248e76a27316420e8de07491158a83f25c3fc443c4f76bb72490dd5,revenue_forward_confirmation_feature_audit_20260713,user_requested_forward_confirmation_feature_audit_20260713,research_only_unless_forward_operation_contract_is_separately_pinned,user_approval_and_registry_migration_required,Forward first-match rule performance and retrospective source launch versus first mature failure feature contrast remain revenue_unreacted_range research only and cannot be consumed by other models or production surfaces.
revenue_unreacted_range_rearmed_operation_grid,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_rearmed_operation_grid_latest.csv,owner_model_research_only,revenue_unreacted_range,1b3915bf2f82c119820a1ae7b545ed74c91dd83fc24c00a0f5f49481206b1189,revenue_rearmed_operation_grid_20260713,user_adopted_rearmed_operation_grid_20260713,research_only_unless_operation_contract_is_explicitly_promoted_and_pinned,user_approval_and_registry_migration_required,Close-confirmed base and delayed bonus operation grids with fixed-close exits four-close stop comparison and exit-gated same-stock rearming remain revenue_unreacted_range research only and cannot be consumed by other models or production surfaces.
revenue_unreacted_range_operation_lag_bucket_audit,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_operation_lag_bucket_audit_latest.csv,owner_model_research_only,revenue_unreacted_range,c204e9e4fe2dfd55da9331272f3084654e9323f025c10950a0cfe92e567af693,revenue_operation_lag_bucket_audit_20260714,user_requested_revenue_operation_lag_bucket_audit_20260714,research_only_unless_watch_horizon_is_explicitly_selected_and_pinned,user_approval_and_registry_migration_required,Adopted-grid operation performance by latest-as-of-trigger and first-source trading-day buckets remains revenue_unreacted_range research only. Primary retains unresolved candidates sensitivity is separate and future episode revenue updates are forbidden as earlier-trigger evidence.
revenue_unreacted_range_position_shape_transition_matrix,model_owned_not_shared,revenue_unreacted_range,scripts/build_revenue_unreacted_range_research.py,output/latest/research_backtest/revenue_unreacted_range_position_shape_transition_matrix_latest.csv,owner_model_research_only,revenue_unreacted_range,5c41b1f6314159a580ed1bb54811ba96e8c5193235367d4d8d512314077e37ac,revenue_position_shape_three_anchor_matrix_20260717,user_requested_revenue_position_shape_three_anchor_matrix_20260717,research_only_unless_position_shape_hypotheses_are_separately_promoted_and_pinned,user_approval_and_registry_migration_required,Three-anchor position shape state comparisons and source-to-preweek-to-confirmation chronological transitions remain revenue_unreacted_range research only. The exact 955-operation baseline retains unresolved candidates and excludes quarterly or annual financial-statement fields.
financial_statement_point_in_time_history,approved_shared_objective,daily_model_maintenance,scripts/build_financial_statement_pit.py,data/financial_statement_history/financial_statement_history.csv,read_only_objective_feature_input,all_models,ddc0c0a54d0374f8622fb3dbe51a88ca1aa841d2955ca5f1432e81aec9e08f63,financial_statement_pit_data_layer_20260716,user_requested_financial_statement_pit_data_layer_20260716,input_only_after_pit_coverage_and_separate_promotion_never_standalone,user_approval_and_registry_migration_required,Quarterly and annual financial statements are independent from monthly revenue and may be joined only as objective as-of inputs; current snapshots and unresolved numerical candidates are not historical promotion evidence.
financial_statement_source_manifest,approved_shared_objective,daily_model_maintenance,scripts/build_financial_statement_pit.py,data/financial_statement_history/financial_statement_source_manifest.csv,read_only_provenance_audit,all_models,8cccd88ec43a1b8d51577e3776e866881c661e9811746da4e4a5c142af5529f0,financial_statement_pit_data_layer_20260716,user_requested_financial_statement_pit_data_layer_20260716,provenance_only_not_model_evidence,user_approval_and_registry_migration_required,Manifest records exact payload hashes source row counts and availability precision while raw archives remain external and content-addressed.
financial_statement_pit_coverage_audit,approved_shared_objective,daily_model_maintenance,scripts/build_financial_statement_pit.py,output/latest/research_backtest/financial_statement_pit_coverage_latest.csv,read_only_coverage_readiness_audit,all_models,35fc38ac95271dee3ad7aa3fa7671f52dfbdfd4ff26646e43f4bc62a4c2d8aae,financial_statement_pit_data_layer_20260716,user_requested_financial_statement_pit_data_layer_20260716,readiness_audit_only_not_model_evidence,user_approval_and_registry_migration_required,Coverage audit cannot automatically authorize model use and must remain blocked until exact historical filing availability anomaly disposition and separate promotion approval.
financial_statement_historical_pit_source_audit,approved_shared_objective,daily_model_maintenance,scripts/build_financial_statement_historical_pit_source_audit.py,output/latest/research_backtest/financial_statement_historical_pit_source_audit_latest.csv,read_only_source_contract_audit,all_models,04170be9ddccd8b40ae0816ff11d3b8428c8568d80ab4e3385683d6d72d056c8,historical_financial_statement_pit_official_acquisition_v3_20260717,user_requested_historical_financial_statement_official_source_acquisition_continuation_20260717,source_audit_only_not_model_evidence,user_approval_and_registry_migration_required,Audit v3 retains OpenAPI current-snapshot evidence selected t56 correction pages and a two-revision 2348 witness; exact announcement and PDF times remain distinct from company XBRL filed_at and all formal-use flags remain false.
