collision_id,field_name,model_family,canonical_artifact,canonical_producer,allowed_mirror_artifact,allowed_mirror_producer,dispatcher_consumer,collision_policy,source_precedence,value_parity_policy,contract_sha256,last_migration_id,approval_reference,required_validation_commands,notes
volume_v2_dispatcher__consecutive_appear_days_same_category,consecutive_appear_days_same_category,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,f4b4e63b348ae5ffb201b272bc063d6fed04227bf18be077d9b17533a86d7dbe,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__distance_to_ma20_pct,distance_to_ma20_pct,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,58cb2b9357003597f9ac9454e85603111deac5d41439e3880a83ab3b7eeb4d74,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__distance_to_ma60_pct,distance_to_ma60_pct,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,98fa4e635f347dda68e66fa9ab90e3d116cce2359e32b11c3d49d14f7a3a270a,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__distance_to_previous_60d_high_pct,distance_to_previous_60d_high_pct,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,2abc9a8e0e2c837aafa02b0f78b48887b90a9d76592b3d76b0cbcb109e7cd9b1,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__ema23,ema23,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,d9cff8e1edb7dcdbf06e969f02e75ce1fd96920a966e02fe394f88b56ddcf444,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__false_breakout_risk,false_breakout_risk,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,d69c094283f7ab906003b66b5fb674c44ce0e2b52914f882d36fb14cfae8f1b9,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__high,high,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,614e1c5a29013c9b14e5cd1ad7e2f5333e4afd4415f98fe1636804f9d8f04356,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__industry,industry,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,8eee32f7a21ddef1295f99c78add12e380db82e2fca64d0e209707c545b676de,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__low,low,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,e672c74e7cd2cc9a48d5cc10636c78682c16da42e816d1f89a8e09d062f96539,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__ma20,ma20,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,fc6993f7c5fa17ebc6c61a8d3a01785cc2f2f97cb9a8514b500760ed4c0e2ec1,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__ma60,ma60,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,de56b3f3232f792bd9da665e6c721f80c04c1a4e8bc0c49ff89efdbf6dc5f511,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__market,market,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,39226ab699c1c2e69121b97edee5e833f31e13ae0384addb634fdd4811927c20,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__multi_category_flags,multi_category_flags,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,c46b0e21b8f88576880031d24a754e0afc56d29d09be7b64a3e52be3449ea028,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__neckline_breakout_flag,neckline_breakout_flag,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,5b3eaf552cba1ac0c85d66b59ebb1eea7b65492293f2b31fed5ea79fb330b49b,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__open,open,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,4e510f2ef4ce057e8f1859453b9fff561fe95033daa444dc6034d138cd35a957,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__pattern_stage,pattern_stage,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,5aa306166cba7336a70f5fb62ef395db324016cba5d8aa155a949efac146fcba,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__platform_breakout_flag,platform_breakout_flag,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,fac19d3e7606ea1e3dbc1fd7ef659322524dae7792cc0c2ef846fcd302b73731,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__previous_20d_high,previous_20d_high,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,fa26284b3798226a338a4d41aca523f846627a8b99a42f7fceecc551ad6d5cbd,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__previous_20d_low,previous_20d_low,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,42a9ffb4a2eed649bcfbca80e73f94e6bff3b011a072420e351b8fa11d49df69,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__previous_60d_high,previous_60d_high,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,91ec132841bfe1675b4216b52ae6a05102b33331e5a85503464d2d55b0e6621e,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__previous_60d_low,previous_60d_low,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,afbe100ae078b282cb78cb3c18ada46f3e744e96765dc831091778e3aa4832d7,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__repeat_appear_label,repeat_appear_label,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,7841347fe4ac150a5f41ec3999bb8f70b64ddeb94cc60036f5cfe3d65c9092d1,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__repeat_appear_note,repeat_appear_note,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,dbe3dcf60441d9089b0e00655b59af0fa251e517d59cdcacc7d5d57cee8a8f23,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__return_20d,return_20d,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,01b75ccf2ae3565b008929a99e278a20916b6a1569ed9c4bf594254857cb0cb2,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__return_5d,return_5d,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,17c8f5e7b75f4f22714835b2f86e245a4677e5c1194b2dafc30ffc50e041711a,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__revaluation_priority,revaluation_priority,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,fa4d450dddf652dcbd591ad3eb6530664a4e46dc02d9b548b9d0cefd141da5eb,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__signal_date,signal_date,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,dcf62706a0ae32b7596d28807cfe00134eb4ca7d0f8a1db171b2fa38af131eaa,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__stock_id,stock_id,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,e68dc3b3967a044977407dbc5b34841891c352c0d92d0a6a78791a07174ef06c,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__stock_name,stock_name,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,50af9b3752c3881f02dd9af9fe4f7888a4ec96d8d86adb25ee1a82ccca5accd0,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__theme_group,theme_group,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,949960dd30466eb6348e587caa6cda5791c925b5d22201a2dce91dfa4c9d4243,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__volume,volume,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,1de40b3503d89bf8c5071a084712bd6223896572ce158a8606e6f0a9b2149014,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__volume_confirmed_breakout,volume_confirmed_breakout,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,ce2f625e81eb467342f3d8184616c4ac6f3ff9a6f46b1ff0e2b05e1da63ba6a0,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
volume_v2_dispatcher__volume_ratio,volume_ratio,volume_v2_dispatcher_current,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,scripts/build_daily_candidate_model_layer.py,watch_overlay_allowlisted,watch_overlays_candidate,no_value_parity_watch_recomputes_price_volume,7860c93f4e4daed6d8358a782b13c3af03c8f063f5d52d55b3a27d6181c7466e,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,watch_canonical_candidate_mirror
volume_v2_dispatcher__subindustry_group_zh,細分族群,volume_v2_dispatcher_current,output/latest/all_candidates_latest.csv,build_all_candidates_latest.py,output/latest/volume_breakout_watch_latest.csv,scripts/build_volume_breakout_watch.py,scripts/build_daily_candidate_model_layer.py,canonical_candidate_preserved,candidate_preserved_watch_ignored,no_value_parity_watch_mirror_is_advisory,a1dbf8f1162cf1b38c829823716acf8896e3ab96e74c2c7c2b099274982db7b1,volume_v2_dispatcher_collision_registry_20260718,user_requested_formal_lineage_hardening_20260718,python scripts/validate_daily_canonical_field_lineage.py,candidate_canonical_watch_advisory_mirror
