signal_date,input_ref,receipt_id,mother_population_basis,path,missing,total_rows,universe_rows,excluded_code_rows,duplicate_keys,alias_payload_conflict,coverage_status,pit_supported_rows,selected_signals,unsupported_reason_counts,historical_closed_date_files_excluded,receipt_available_no_later_than,entry_cutoff,receipt_gap_audit
20260702,4e42a7da0d8a915d07986e84cecd3b8a46dc86fd,source_receipt_20260702,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260702.csv,False,2123,1949,174,0,False,receipted_tree_partial_quality_coverage,1078,524,"{""insufficient_21_observations"": 4, ""raw_volume_lineage_unresolved"": 867, ""tdcc_four_batch_coverage_missing"": 5}",,2026-07-02T23:17:56.3106544Z,2026-07-03T08:30:00+08:00,
20260703,b4adbf53b252954ba28bcd4368ec028dc7f46d93,source_receipt_20260703,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260703.csv,False,2136,1962,174,0,False,receipted_tree_partial_quality_coverage,1078,436,"{""insufficient_21_observations"": 4, ""raw_volume_lineage_unresolved"": 880, ""tdcc_four_batch_coverage_missing"": 5}",,2026-07-05T23:49:07.0383328Z,2026-07-06T08:30:00+08:00,
20260706,a88d15cb9c05a9334a5e8381ef3c5af434167744,source_receipt_20260706,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260706.csv,False,2137,1962,175,0,False,receipted_tree_partial_quality_coverage,1891,766,"{""insufficient_21_observations"": 3, ""raw_volume_lineage_unresolved"": 67, ""tdcc_four_batch_coverage_missing"": 5}",,2026-07-06T20:53:38.4510931Z,2026-07-07T08:30:00+08:00,
20260707,d45b19f60ef9ed254201010e52a9e6c93b252d80,source_receipt_20260707,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260707.csv,False,2134,1959,175,0,False,receipted_tree_partial_quality_coverage,1916,884,"{""insufficient_21_observations"": 4, ""raw_volume_lineage_unresolved"": 38, ""tdcc_four_batch_coverage_missing"": 5}",,2026-07-07T15:47:19.8293962Z,2026-07-08T08:30:00+08:00,
20260708,8eeac5e4b0dd39994e3780a5b384d99fa38c3bb8,source_receipt_20260708,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260708.csv,False,2132,1955,177,0,False,receipted_tree_partial_quality_coverage,1923,928,"{""insufficient_21_observations"": 3, ""raw_volume_lineage_unresolved"": 28, ""tdcc_four_batch_coverage_missing"": 5}",,2026-07-08T12:04:10.3390234Z,2026-07-09T08:30:00+08:00,
20260709,f660fb72facc3733f2eab29be556fbfbbc02d73b,source_receipt_20260709,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260709.csv,False,2132,1955,177,0,False,receipted_tree_partial_quality_coverage,1933,930,"{""insufficient_21_observations"": 3, ""raw_volume_lineage_unresolved"": 18, ""tdcc_four_batch_coverage_missing"": 5}",,2026-07-12T12:46:54.1625066Z,2026-07-13T08:30:00+08:00,
20260713,9e9b223b834cbbece14c1a05afef5343c766b1eb,source_receipt_20260713,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260713.csv,False,2133,1956,177,0,False,receipted_tree_partial_quality_coverage,1935,946,"{""insufficient_21_observations"": 3, ""raw_volume_lineage_unresolved"": 17, ""tdcc_four_batch_coverage_missing"": 5}",,2026-07-13T22:35:12.2586747Z,2026-07-14T08:30:00+08:00,
20260714,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260714.csv,False,2124,1953,171,0,False,receipt_not_established_from_tested_run,0,0,,,,,"Night run freshness=July14 passed, then operation-row validation failed without push; download artifacts expired, exact payload not recovered. Do not claim no data existed."
20260715,f712f86ba2ae81adfe44c00a8f240af379d96004,source_receipt_20260715,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260715.csv,False,2129,1954,175,0,False,receipted_tree_partial_quality_coverage,80,71,"{""insufficient_21_observations"": 2, ""raw_volume_lineage_unresolved"": 8, ""tdcc_four_batch_coverage_missing"": 1874}",,2026-07-15T13:41:56.8332459Z,2026-07-16T08:30:00+08:00,
20260716,52dd1e9e82dadd1484359f671f252f70b286ed0b,source_receipt_20260716,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260716.csv,False,2122,1951,171,0,False,receipted_tree_partial_quality_coverage,80,72,"{""insufficient_21_observations"": 3, ""raw_volume_lineage_unresolved"": 6, ""tdcc_four_batch_coverage_missing"": 1871}",,2026-07-16T11:46:34.7099811Z,2026-07-17T08:30:00+08:00,
20260717,a45c1a25e7e03fb8040d903339045892742cb3c0,july17_pages_checkout_a45c1a25,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260717.csv,False,2131,1957,174,0,False,receipted_tree_partial_quality_coverage,80,74,"{""insufficient_21_observations"": 2, ""raw_volume_lineage_unresolved"": 3, ""tdcc_four_batch_coverage_missing"": 1877}",,2026-07-18T08:16:30.954904+08:00,2026-07-20T08:30:00+08:00,
20260720,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260720.csv,False,2130,1955,175,0,False,receipt_not_established_from_tested_run,0,0,,,,,"validator import pandas failed with ModuleNotFoundError at 2026-07-20T11:33:18Z; dependency install, price fetch/history/candidate/commit/push all skipped; old base checkout ef54f44f5d69889894fe987b4c9ac7cc2bb86623 at11:32:22.1436022Z does not provide new July20 raw-price availability."
20260721,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260721.csv,False,2126,1951,175,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260722,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260722.csv,False,2132,1957,175,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260723,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260723.csv,False,2118,1946,172,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260724,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260724.csv,False,2121,1946,175,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260727,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260727.csv,False,2107,1936,171,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260728,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260728.csv,False,2118,1947,171,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260729,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260729.csv,False,2131,1958,173,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260730,5f1eb82b8e1c515ed666e1e24e23cbe081881218,july30_pages_checkout_5f1eb82b,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260730.csv,False,2119,1945,174,0,False,receipted_tree_partial_quality_coverage,1935,1031,"{""insufficient_21_observations"": 4, ""raw_volume_lineage_unresolved"": 1, ""tdcc_four_batch_coverage_missing"": 9}",,2026-07-30T08:38:56.7930558Z,2026-07-31T08:30:00+08:00,
20260731,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260731.csv,False,2137,1961,176,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260803,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260803.csv,False,2117,1942,175,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260804,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260804.csv,False,2122,1946,176,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260805,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260805.csv,False,2128,1952,176,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260806,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260806.csv,False,2128,1950,178,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260807,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260807.csv,False,2119,1945,174,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260810,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260810.csv,False,2134,1958,176,0,False,receipt_not_established_from_tested_run,0,0,,,,,Earlier repair only targeted August07 and did no repair; checked two candidate base trees have no August10 raw; no exact August10 input version pinned.
20260811,e59e4f5c481ec1ae93c75327cab6abf0d853b567,source_receipt_20260811,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260811.csv,False,2133,1959,174,0,False,receipted_tree_partial_quality_coverage,1947,895,"{""insufficient_21_observations"": 6, ""raw_volume_lineage_unresolved"": 1, ""tdcc_four_batch_coverage_missing"": 11}",,2026-08-11T12:09:20.9155238Z,2026-08-12T08:30:00+08:00,
20260812,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260812.csv,False,2131,1955,176,0,False,receipt_not_established_from_tested_run,0,0,,,,,"Raw repair completed around20:39 +08, but source bundle market_status unknown prevented commit. Coordinator inspected unexpired artifact in memory:11 repair summaries/stock_price_history_manifest files, only latest_close/volume and stock5291 check, not full rawOHLC. No ZIP written. Exact full marketwide input unavailable from this tested artifact, not proof historical data absent."
20260813,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260813.csv,False,2139,1963,176,0,False,receipt_not_established_from_tested_run,0,0,,,,,"Raw repair completed around20:37 +08, but source bundle market_status unknown prevented commit. Coordinator inspected unexpired artifact in memory:11 repair summaries/stock_price_history_manifest files, no full rawOHLC. No ZIP written. Exact full marketwide input unavailable from this tested artifact, not proof historical data absent."
20260814,7d47662490326fc3e76cfb2aee41608effa27638,source_receipt_20260814,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260814.csv,False,2133,1954,179,0,False,receipted_tree_partial_quality_coverage,1943,922,"{""insufficient_21_observations"": 5, ""tdcc_four_batch_coverage_missing"": 11}",,2026-08-14T12:45:24.7301986Z,2026-08-17T08:30:00+08:00,
20260817,39330602f2587c684be7254ed214bf8f2e34a23a,source_receipt_20260817,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260817.csv,False,2133,1959,174,0,False,receipted_tree_partial_quality_coverage,1948,1002,"{""insufficient_21_observations"": 5, ""tdcc_four_batch_coverage_missing"": 11}",,2026-08-17T12:41:25.4525508Z,2026-08-18T08:30:00+08:00,
20260818,23694af339c400642e9a68214fef9ee75566af8c,source_receipt_20260818,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260818.csv,False,2124,1948,176,0,False,receipted_tree_partial_quality_coverage,1936,1023,"{""insufficient_21_observations"": 6, ""tdcc_four_batch_coverage_missing"": 11}",,2026-08-18T12:40:30.7162087Z,2026-08-19T08:30:00+08:00,
20260819,477e6acf72453281e3ebb5919561e31aa4ea60e0,source_receipt_20260819,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260819.csv,False,2120,1945,175,0,False,receipted_tree_partial_quality_coverage,1934,1050,"{""insufficient_21_observations"": 5, ""tdcc_four_batch_coverage_missing"": 11}",,2026-08-19T12:39:49.8492320Z,2026-08-20T08:30:00+08:00,
20260820,623ab1b132d788d4ad5a1dd0e4ac2af7cd41aa54,source_receipt_20260820,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260820.csv,False,2125,1950,175,0,False,receipted_tree_partial_quality_coverage,1939,1047,"{""insufficient_21_observations"": 4, ""tdcc_four_batch_coverage_missing"": 11}",,2026-08-20T12:38:47.8563897Z,2026-08-21T08:30:00+08:00,
20260821,dfa489b518d1f82512d4cfc927e7f31b526b7c05,source_receipt_20260821,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260821.csv,False,2135,1957,178,0,False,receipted_tree_partial_quality_coverage,1945,1018,"{""insufficient_21_observations"": 4, ""tdcc_four_batch_coverage_missing"": 11}",,2026-08-21T12:33:07.1420635Z,2026-08-24T08:30:00+08:00,
20260824,17e8c224065a903142f438f9b8e303a97ba6d7a9,source_receipt_20260824,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260824.csv,False,2121,1944,177,0,False,receipted_tree_partial_quality_coverage,1932,1058,"{""insufficient_21_observations"": 3, ""tdcc_four_batch_coverage_missing"": 12}",,2026-08-24T12:38:52.3170678Z,2026-08-25T08:30:00+08:00,
20260825,6ebb740e85df3633f7f5294c6bda73b046a41d4c,source_receipt_20260825,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260825.csv,False,2118,1943,175,0,False,receipted_tree_partial_quality_coverage,1930,1000,"{""insufficient_21_observations"": 2, ""tdcc_four_batch_coverage_missing"": 13}",,2026-08-25T12:33:46.0405016Z,2026-08-26T08:30:00+08:00,
20260826,05b2f8c3cd82e987fb04963e5b14e2393247c5c1,source_receipt_20260826,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260826.csv,False,2135,1957,178,0,False,receipted_tree_partial_quality_coverage,1942,920,"{""insufficient_21_observations"": 3, ""raw_volume_lineage_unresolved"": 1, ""tdcc_four_batch_coverage_missing"": 13}",,2026-08-26T12:36:27.0871953Z,2026-08-27T08:30:00+08:00,
20260827,0835de535ccefef05a10014e8411b0db7befc6bb,source_receipt_20260827,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260827.csv,False,2128,1952,176,0,False,receipted_tree_partial_quality_coverage,1938,873,"{""insufficient_21_observations"": 3, ""tdcc_four_batch_coverage_missing"": 13}",,2026-08-27T12:38:40.1061685Z,2026-08-28T08:30:00+08:00,
20260828,93efa5ced334b5edf71fb1ea2301290b8c68c2ba,source_receipt_20260828,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260828.csv,False,2135,1955,180,0,False,receipted_tree_partial_quality_coverage,1942,945,"{""insufficient_21_observations"": 2, ""tdcc_four_batch_coverage_missing"": 13}",,2026-08-28T12:38:28.9683180Z,2026-08-31T08:30:00+08:00,
20260831,b79632781470a5c9de86f74544f1f4d18684f579,source_receipt_20260831,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260831.csv,False,2117,1943,174,0,False,receipted_tree_partial_quality_coverage,1930,950,"{""insufficient_21_observations"": 2, ""tdcc_four_batch_coverage_missing"": 13}",,2026-08-31T12:33:42.6767777Z,2026-09-01T08:30:00+08:00,
20260901,861914bc6f1a92749e39e0fd64549d2a33262578,source_receipt_20260901,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260901.csv,False,2125,1946,179,0,False,receipted_tree_partial_quality_coverage,1932,970,"{""insufficient_21_observations"": 3, ""tdcc_four_batch_coverage_missing"": 13}",,2026-09-01T12:40:00.7268382Z,2026-09-02T08:30:00+08:00,
20260902,188d751f929450bcb658223394b90d36583660e3,source_receipt_20260902,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260902.csv,False,2119,1941,178,0,False,receipted_tree_partial_quality_coverage,1928,1001,"{""insufficient_21_observations"": 2, ""tdcc_four_batch_coverage_missing"": 13}",,2026-09-02T12:37:17.0274809Z,2026-09-03T08:30:00+08:00,
20260903,86c12c9b9192e860912c4ab6416edc92014162b2,source_receipt_20260903,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260903.csv,False,2118,1942,176,0,False,receipted_tree_partial_quality_coverage,1928,1037,"{""insufficient_21_observations"": 3, ""tdcc_four_batch_coverage_missing"": 14}",,2026-09-03T12:34:08.7099304Z,2026-09-04T08:30:00+08:00,
20260904,884536eb1e3c3a53d08efb7f23a2b944c789da18,source_receipt_20260904,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260904.csv,False,2121,1944,177,0,False,receipted_tree_partial_quality_coverage,1930,1035,"{""insufficient_21_observations"": 3, ""tdcc_four_batch_coverage_missing"": 14}",,2026-09-04T12:34:06.7434368Z,2026-09-07T08:30:00+08:00,
20260907,be2e7fdeac1dc531d28ee9a4c29af45a2d58aca3,source_receipt_20260907,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260907.csv,False,2141,1962,179,0,False,receipted_tree_partial_quality_coverage,1947,950,"{""insufficient_21_observations"": 2, ""tdcc_four_batch_coverage_missing"": 15}",,2026-09-07T12:36:36.4786386Z,2026-09-08T08:30:00+08:00,
20260908,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260908.csv,False,2128,1950,178,0,False,exact_version_not_yet_pinned,0,0,,,,,
20260909,40cee0405390a9ccaf3a1ad0778aa1e680ab8252,,same_day_raw_historical_price_codes_not_candidates,data/daily_price/20260909.csv,False,2133,1954,179,0,False,exact_version_not_yet_pinned,0,0,,,,,
